state,fips,area,all_poverty,m_poverty,f_poverty,median_income,median_income_white,median_income_black,median_income_nativeamerican,median_income_asian,median_income_hispanic,m_w_ins,m_wo_ins,f_w_ins,f_wo_ins,all_w_ins,all_wo_ins,age_adjusted_mr,lower_95_ci_for_mr,upper_95_ci_for_mr,avg_deaths_per_year,recent_mr_trend,recent_5-year_mr-trend,lower_95_ci_mr-trend,upper_95_ci_mr-trend,age_adjusted_ir,lower_95_ci_for_ir,upper_95_ci_for_ir,avg_annual_incidences,recent_trend,recent_5-year_ir-trend,lower_95_ci_for_ir-trend,upper_95_ci_for_ir-trend
AK,02013,"Aleutians East Borough, Alaska",553.00,334,219,61518,72639,31250,54750,62679,51250,876,1317,566,540,1442,1857,,,,,,,,,157.4,91.7,254,5,,,,
AK,02016,"Aleutians West Census Area, Alaska",499.00,273,226,84306,97321,93750,48750,81250,77500,2470,769,1707,564,4177,1333,124.7,51.7,238.6,4,,,,,383.1,247.7,556.6,14,stable,0.0,-6.9,7.3
AK,02020,"Anchorage Municipality, Alaska",23914.00,10698,13216,78326,87235,50535,53935,63757,53926,120747,23245,122426,21393,243173,44638,146.1,139.1,153.4,365,falling,-1.5,-1.8,-1.1,439.1,427.3,451.1,1189,falling,-1.2,-1.5,-1.0
AK,02290,"Yukon-Koyukuk Census Area, Alaska",1252.00,666,586,38491,63000,,29750,76250,,1795,1225,1692,907,3487,2132,243.2,187.1,311,14,stable,0.5,-1.1,2.0,558.3,471.7,656.3,34,stable,0.7,-1.9,3.4
AK,02180,"Nome Census Area, Alaska",2592.00,1399,1193,48868,85455,,37277,78056,86607,3506,1605,3430,1114,6936,2719,208.3,154.3,273.2,13,stable,0.3,-1.2,1.8,468.5,391.3,555.5,33,stable,0.4,-1.8,2.7
AK,02050,"Bethel Census Area, Alaska",4364.00,2199,2165,51012,92647,73661,41594,110625,160114,6396,2708,6627,1774,13023,4482,209.1,163.9,261.4,20,stable,-0.4,-1.6,0.8,358.7,306.2,417,44,stable,-1.9,-4.6,0.8
AK,02164,"Lake and Peninsula Borough, Alaska",247.00,119,128,50781,72500,,38482,,,445,286,513,230,958,516,,,,,,,,,439.5,286.5,641.3,6,,,,
AK,02185,"North Slope Borough, Alaska",976,532,444,72576,86250,107500,59554,126964,88563,4847,1248,2579,910,7426,2158,237,175.9,310.1,13,stable,-0.9,-2.6,0.9,425,345,516.3,28,stable,-1.2,-3.8,1.6
AK,02060,"Bristol Bay Borough, Alaska",69,33,36,79750,88000,,63333,,25625,419,124,349,67,768,191,,,,,,,,,356.4,211.6,571.4,4,stable,-1.6,-7.5,4.7
AK,02130,"Ketchikan Gateway Borough, Alaska",1640,792,848,64222,73313,,45536,45859,83250,5339,1428,5527,1082,10866,2510,135.2,109.3,165.5,21,falling,-1.8,-2.9,-0.7,436.2,388.8,488,69,falling,-1.3,-2.5,-0.1
AK,02068,"Denali Borough, Alaska",254,139,115,81544,81029,,47500,,,822,253,674,250,1496,503,,,,,,,,,410.2,229.6,662.9,7,stable,-3.0,-9.6,4.0
AK,02122,"Kenai Peninsula Borough, Alaska",5558,2596,2962,63684,64663,122660,46458,58125,64148,22391,6435,21668,5433,44059,11868,163,149,177.9,114,falling,-1.7,-2.3,-1.1,435.3,412.7,458.8,320,falling,-1.1,-2.1,-0.2
AK,02070,"Dillingham Census Area, Alaska",894,446,448,54173,81161,,42212,,86458,1678,900,1837,546,3515,1446,198.3,136.5,277,8,stable,0.0,-2.2,2.2,375.4,289.1,478.2,15,stable,-1.8,-4.9,1.3
AK,02261,"Valdez-Cordova Census Area, Alaska",1029,598,431,78810,82090,,45000,105417,,3670,1292,3566,884,7236,2176,157.3,118.1,204.8,14,falling,-2.0,-3.3,-0.8,429,367,498.4,42,falling,-1.8,-3.4,-0.1
AK,02090,"Fairbanks North Star Borough, Alaska",7752,3523,4229,71068,74242,56353,48333,56339,55284,40605,6957,40210,5322,80815,12279,128.7,116.5,141.6,98,falling,-1.7,-2.4,-1.1,386.7,366.6,407.5,328,falling,-2.5,-3.1,-1.9
AK,02170,"Matanuska-Susitna Borough, Alaska",9454,4346,5108,72983,74141,55577,56724,53789,77367,39282,9314,37751,8084,77033,17398,161.8,149.4,174.8,149,falling,-1.1,-1.7,-0.5,427.6,408.2,447.7,426,falling,-5.5,-9.2,-1.8
AK,02100,"Haines Borough, Alaska",135,74,61,58750,67888,,45714,,,960,422,944,228,1904,650,,,,,,,,,341.1,250.8,456,11,falling,-3.4,-6.4,-0.4
AK,02105,"Hoonah-Angoon Census Area, Alaska",252,102,150,52419,64000,,35625,,68500,798,328,711,288,1509,616,,,,,,,,,,,,,,,,
AK,02240,"Southeast Fairbanks Census Area, Alaska",1011,507,504,62670,71349,51563,20774,33750,78750,2889,853,2454,666,5343,1519,152.6,111.6,203.5,11,stable,-1.4,-2.8,0.1,411.7,346.2,486.3,32,stable,-2.3,-4.9,0.3
