state,fips,area,impoverished,median_income,insurance,no_insurance,age_adjusted_mr,lower_95_ci_for_mr,upper_95_ci_for_mr,avg_deaths_per_year,recent_mr_trend,recent_5-year_mr-trend,lower_95_ci_mr-trend,upper_95_ci_mr-trend,age_adjusted_ir,lower_95_ci_for_ir,upper_95_ci_for_ir,avg_annual_incidences,recent_ir_trend,recent_5-year_ir-trend,lower_95_ci_for_ir-trend,upper_95_ci_for_ir-trend,est_pop,all_poverty_pc,with_insurance_pc,no_insurance_pc,median_income_pc
AK,02016,"Aleutians West Census Area, Alaska",499,84306,4177,1333,124.70,51.70,238.60,4,,,,,383,247.7,556.6,14,2,0.00,-6.90,7.30,5702,8751,73255,23378,1478533.848
AK,02020,"Anchorage Municipality, Alaska",23914,78326,243173,44638,146.10,139.10,153.40,365,1,-1.5,-1.8,-1.1,439,427.3,451.1,1189,1,-1.20,-1.50,-1.00,298695,8006,81412,14944,26222.73557
AL,01001,"Autauga County, Alabama",7057,51281,48917,5508,161.40,147.80,176.10,105,1,-1.8,-2.4,-1.2,494,469.7,519.6,316,2,0.50,-0.20,1.20,55347,12750,88382,9952,92653.6217
AK,02290,"Yukon-Koyukuk Census Area, Alaska",1252,38491,3487,2132,243.20,187.10,311.00,14,2,0.5,-1.1,2,558,471.7,656.3,34,2,0.70,-1.90,3.40,5533,22628,63022,38532,695662.3893
AL,01003,"Baldwin County, Alabama",25798,50254,167783,24987,158.20,151.90,164.90,486,1,-1.2,-1.4,-1,456,444.6,467.6,1314,2,0.20,-0.30,0.60,203709,12664,82364,12266,24669.50405
AK,02180,"Nome Census Area, Alaska",2592,48868,6936,2719,208.30,154.30,273.20,13,2,0.3,-1.2,1.8,469,391.3,555.5,33,2,0.40,-1.80,2.70,9846,26325,70445,27615,496323.3801
AL,01005,"Barbour County, Alabama",6421,32964,20328,3732,182.70,162.80,204.50,64,1,-1.2,-1.9,-0.5,435,403.7,468.1,152,2,-0.10,-1.20,1.00,26489,24240,76741,14089,124444.1089
AK,02050,"Bethel Census Area, Alaska",4364,51012,13023,4482,209.10,163.90,261.40,20,2,-0.4,-1.6,0.8,359,306.2,417.0,44,2,-1.90,-4.60,0.80,17946,24317,72568,24975,284252.7583
AL,01007,"Bibb County, Alabama",3488,38678,18763,2007,183.10,160.80,207.70,50,1,-0.8,-1.3,-0.3,466,430.1,504.4,129,2,0.30,-0.80,1.40,22583,15445,83085,8887,171270.4247
AK,02185,"North Slope Borough, Alaska",976,72576,7426,2158,237.00,175.90,310.10,13,2,-0.9,-2.6,0.9,425,345.0,516.3,28,2,-1.20,-3.80,1.60,9687,10075,76659,22277,749210.2818
AL,01009,"Blount County, Alabama",9552,45813,50551,6659,182.20,168.80,196.40,142,1,-0.9,-1.3,-0.5,433,411.3,454.9,324,2,-0.10,-1.00,0.70,57673,16562,87651,11546,79435.78451
AK,02130,"Ketchikan Gateway Borough, Alaska",1640,64222,10866,2510,135.20,109.30,165.50,21,1,-1.8,-2.9,-0.7,436,388.8,488.0,69,1,-1.30,-2.50,-0.10,13709,11963,79262,18309,468465.9713
AL,01011,"Bullock County, Alabama",2486,31938,8279,1828,206.90,172.50,246.50,26,2,-0.2,-1.1,0.6,489,434.2,548.6,61,2,-0.50,-2.20,1.20,10696,23242,77403,17091,298597.6066
AK,02122,"Kenai Peninsula Borough, Alaska",5558,63684,44059,11868,163.00,149.00,177.90,114,1,-1.7,-2.3,-1.1,435,412.7,458.8,320,1,-1.10,-2.10,-0.20,58059,9573,75887,20441,109688.4204
AL,01013,"Butler County, Alabama",5094,32229,17611,2459,159.80,139.10,183.10,46,1,-0.8,-1.4,-0.3,430,394.0,468.6,115,2,0.50,-0.80,1.80,20154,25275,87382,12201,159913.6648
AK,02070,"Dillingham Census Area, Alaska",894,54173,3515,1446,198.30,136.50,277.00,8,2,0,-2.2,2.2,375,289.1,478.2,15,2,-1.80,-4.90,1.30,4997,17891,70342,28937,1084110.466
AL,01015,"Calhoun County, Alabama",23325,41703,101510,13685,180.30,170.60,190.40,269,1,-1.3,-1.6,-1,472,455.7,488.4,687,2,0.20,-0.30,0.70,115620,20174,87796,11836,36069.0192
AK,02261,"Valdez-Cordova Census Area, Alaska",1029,78810,7236,2176,157.30,118.10,204.80,14,1,-2,-3.3,-0.8,429,367.0,498.4,42,1,-1.80,-3.40,-0.10,9362,10991,77291,23243,841807.3061
AL,01017,"Chambers County, Alabama",7273,34177,29059,4674,188.10,170.70,207.00,90,1,-0.7,-1.1,-0.3,507,477.2,537.9,236,2,0.60,-0.50,1.60,34123,21314,85160,13698,100158.251
AK,02090,"Fairbanks North Star Borough, Alaska",7752,71068,80815,12279,128.70,116.50,141.60,98,1,-1.7,-2.4,-1.1,387,366.6,407.5,328,1,-2.50,-3.10,-1.90,99631,7781,81114,12324,71331.21217
AL,01019,"Cherokee County, Alabama",4918,36296,23131,2541,167.70,149.90,187.40,70,2,-0.7,-1.3,0,384,356.1,414.7,152,2,-0.60,-1.70,0.60,25859,19019,89450,9826,140361.1895
AK,02170,"Matanuska-Susitna Borough, Alaska",9454,72983,77033,17398,161.80,149.40,174.80,149,1,-1.1,-1.7,-0.5,428,408.2,447.7,426,1,-5.50,-9.20,-1.80,101095,9352,76199,17210,72192.49221
AL,01021,"Chilton County, Alabama",8288,41627,36535,6964,172.20,156.80,188.80,95,1,-0.8,-1.3,-0.2,409,384.9,435.1,220,2,-0.60,-1.60,0.40,43943,18861,83142,15848,94729.53599
AK,02240,"Southeast Fairbanks Census Area, Alaska",1011,62670,5343,1519,152.60,111.60,203.50,11,2,-1.4,-2.8,0.1,412,346.2,486.3,32,2,-2.30,-4.90,0.30,6839,14783,78125,22211,916362.0412
AL,01023,"Choctaw County, Alabama",3093,33536,11482,1784,147.80,125.00,174.20,32,1,-2,-2.7,-1.3,448,404.8,494.8,89,2,-4.40,-11.80,3.70,13170,23485,87183,13546,254639.3318
AK,02110,"Juneau City and Borough, Alaska",2110,85746,27321,4646,147.50,127.70,169.60,46,1,-1.2,-2.1,-0.4,401,369.3,434.5,138,1,-1.10,-2.10,-0.10,32756,6442,83408,14184,261771.8891
AL,01025,"Clarke County, Alabama",6107,32011,21040,3759,175.80,156.40,197.20,62,1,-1,-1.7,-0.4,471,437.7,506.9,156,2,-0.10,-0.60,0.40,24675,24750,85268,15234,129730.4965
AK,02150,"Kodiak Island Borough, Alaska",1552,70887,9884,3399,131.50,100.30,168.60,14,1,-2.2,-3.5,-1,404,350.2,462.5,50,2,-1.50,-3.30,0.20,13889,11174,71164,24473,510382.3169
AL,01027,"Clay County, Alabama",2201,35327,11357,1908,183.30,157.40,212.90,37,2,-0.4,-1.3,0.5,479,433.7,527.9,90,2,-0.40,-1.40,0.50,13555,16238,83785,14076,260619.6975
AK,02188,"Northwest Arctic Borough, Alaska",1824,63648,5232,2476,152.10,106.50,209.20,8,2,-1.6,-3.2,0.1,397,324.2,480.0,23,2,1.20,-1.00,3.30,7752,23529,67492,31940,821052.6316
AL,01029,"Cleburne County, Alabama",2508,38056,12816,2030,146.20,123.90,171.70,32,1,-1.4,-2.3,-0.4,440,399.4,484.4,91,2,0.30,-1.20,1.90,15018,16700,85338,13517,253402.5836
AK,02220,"Sitka City and Borough, Alaska",798,70376,7226,1533,119.90,91.30,155.20,13,1,-1.7,-2.9,-0.5,343,292.0,400.4,35,2,-1.80,-3.80,0.20,8863,9004,81530,17297,794042.6492
AL,01031,"Coffee County, Alabama",8581,46729,43255,5674,163.30,149.50,178.00,107,1,-1.1,-1.5,-0.7,418,394.9,441.2,265,2,0.10,-0.60,0.90,51211,16756,84464,11080,91247.97407
AL,01127,"Walker County, Alabama",14598,35843,56419,8800,215.00,201.30,229.50,192,2,-0.3,-0.6,0.1,513,491.3,535.8,446,3,0.40,0.10,0.70,65294,22357,86408,13478,54894.78359
AL,01033,"Colbert County, Alabama",9406,40576,48012,6010,178.40,165.20,192.50,141,1,-0.8,-1.1,-0.5,443,421.0,465.4,333,3,0.90,0.10,1.60,54354,17305,88332,11057,74651.35961
AL,01131,"Wilcox County, Alabama",4126,23750,9176,1800,208.20,175.70,245.40,31,2,0,-0.9,0.9,477,425.5,533.2,69,2,-0.20,-1.50,1.10,11059,37309,82973,16276,214757.2113
AL,01035,"Conecuh County, Alabama",4320,24900,10152,2666,180.90,154.20,211.50,36,1,-1.5,-2.2,-0.8,452,405.8,501.7,81,2,-3.10,-6.20,0.00,12672,34091,80114,21039,196496.2121
AL,01085,"Lowndes County, Alabama",3035,25876,9158,1446,202.60,169.00,241.40,28,2,-0.5,-1.2,0.2,602,542.3,666.4,82,3,8.80,3.10,14.80,10458,29021,87569,13827,247427.8065
AL,01037,"Coosa County, Alabama",2073,31212,9079,1671,163.20,136.10,195.00,29,1,-1.2,-1.9,-0.4,359,316.8,405.9,59,2,-1.10,-3.30,1.20,10724,19330,84661,15582,291048.1164
AL,01039,"Covington County, Alabama",7515,36444,32413,4957,189.70,173.60,207.20,107,2,-0.5,-1,0,456,429.7,484.3,241,2,0.60,-0.50,1.80,37835,19863,85669,13102,96323.50998
AL,01041,"Crenshaw County, Alabama",2288,36022,12076,1687,203.70,175.20,235.80,39,2,-0.3,-1.1,0.5,535,486.8,586.5,99,3,2.70,1.30,4.10,13963,16386,86486,12082,257981.8091
AL,01087,"Macon County, Alabama",4636,30738,17361,2448,206.10,181.10,233.90,54,1,-1,-1.4,-0.6,487,447.3,530.2,124,2,1.40,-0.10,2.90,19105,24266,90871,12813,160889.8194
AL,01043,"Cullman County, Alabama",14814,38971,68198,12002,169.80,158.80,181.30,188,1,-0.7,-1.1,-0.4,431,413.2,449.9,459,2,0.20,-0.30,0.70,82005,18065,83163,14636,47522.71203
AL,01045,"Dale County, Alabama",9306,45028,40830,6340,171.40,157.00,186.80,107,1,-1,-1.3,-0.7,462,437.0,487.4,277,2,0.00,-1.00,1.00,49565,18775,82377,12791,90846.36336
AL,01047,"Dallas County, Alabama",14580,27306,35997,5842,197.20,179.90,215.90,101,1,-0.9,-1.2,-0.5,481,453.1,509.8,244,2,0.50,-0.60,1.50,41131,35448,87518,14203,66387.88262
AL,01051,"Elmore County, Alabama",10334,53555,68407,7094,174.30,162.20,187.10,161,1,-1.1,-1.4,-0.8,505,484.6,526.6,475,2,0.50,0.00,1.10,81468,12685,83968,8708,65737.46747
AL,01049,"DeKalb County, Alabama",13133,38192,58502,11872,163.20,151.40,175.70,148,2,1.1,-1.5,3.8,396,376.8,415.2,349,1,-1.20,-2.10,-0.30,71130,18463,82247,16691,53693.23773
AL,01075,"Lamar County, Alabama",3382,35450,12124,1865,185.10,159.50,214.20,40,2,-0.6,-1.2,0.1,502,456.7,550.0,101,2,1.10,-0.20,2.50,13886,24355,87311,13431,255293.101
AL,01053,"Escambia County, Alabama",8609,32330,29013,6594,193.10,175.90,211.70,95,1,-0.9,-1.3,-0.6,443,416.3,470.9,215,1,-0.90,-1.50,-0.30,37789,22782,76776,17450,85553.99719
AL,01055,"Etowah County, Alabama",20078,39220,89255,13480,181.10,171.20,191.60,258,1,-1,-1.3,-0.7,464,447.5,481.1,633,2,-0.10,-0.70,0.40,103057,19482,86607,13080,38056.60945
AL,01113,"Russell County, Alabama",12054,37049,47166,9207,202.10,186.50,218.70,129,1,-0.8,-1.2,-0.4,414,391.5,437.5,266,2,-0.40,-2.60,1.70,59660,20204,79058,15432,62100.23466
AL,01057,"Fayette County, Alabama",3055,34680,15125,1583,193.70,169.20,221.30,47,2,-0.4,-1.1,0.3,443,403.9,485.0,104,2,0.60,-0.70,2.00,16759,18229,90250,9446,206933.5879
AL,01059,"Franklin County, Alabama",7020,35372,26407,4967,173.80,155.50,193.70,68,1,-1,-1.6,-0.4,421,391.7,451.8,160,2,-0.10,-0.80,0.70,31696,22148,83313,15671,111597.6779
AL,01123,"Tallapoosa County, Alabama",9117,39206,35803,4813,186.10,170.40,203.00,112,2,-0.5,-1.1,0.1,485,459.1,513.1,284,3,0.70,0.30,1.20,40844,22322,87658,11784,95989.61904
AL,01061,"Geneva County, Alabama",6149,36024,22408,4068,184.90,166.00,205.60,73,2,-0.5,-1.1,0.1,455,424.0,488.1,171,1,-1.30,-2.30,-0.20,26777,22964,83684,15192,134533.3682
AL,01063,"Greene County, Alabama",3479,20541,7385,1261,152.00,122.20,188.00,20,1,-1.5,-2.4,-0.6,475,417.0,540.2,56,2,0.70,-0.90,2.30,8479,41031,87098,14872,242257.3417
AL,01107,"Pickens County, Alabama",4801,30330,16756,2498,144.70,125.50,166.50,42,1,-3.6,-5.2,-1.9,484,445.8,524.4,129,2,0.50,-0.70,1.80,20864,23011,80311,11973,145370.0153
AL,01065,"Hale County, Alabama",4011,32714,13147,1851,159.60,135.30,187.40,33,1,-1.2,-2.2,-0.2,383,344.6,425.3,79,2,-0.40,-2.20,1.40,15068,26619,87251,12284,217109.1054
AL,01067,"Henry County, Alabama",2657,41997,14936,2090,185.70,162.30,211.90,49,2,-0.6,-1.2,0,458,419.3,499.2,115,1,-1.00,-1.80,-0.10,17221,15429,86731,12136,243870.8554
AL,01079,"Lawrence County, Alabama",6225,40003,29529,3815,184.20,166.60,203.30,84,1,-0.6,-1.2,-0.1,483,453.1,513.6,213,2,-0.20,-1.10,0.70,33115,18798,89171,11520,120800.2416
AL,01069,"Houston County, Alabama",18746,41571,89531,13115,161.80,152.20,171.90,220,2,-6.6,-14.6,2.1,440,423.6,456.6,582,1,-1.00,-1.60,-0.40,104173,17995,85945,12590,39905.73373
AL,01091,"Marengo County, Alabama",5244,32042,17665,2414,195.70,172.00,222.00,52,1,-0.7,-1.3,-0.2,457,419.5,497.1,119,2,0.60,0.00,1.20,20028,26183,88202,12053,159986.0196
AL,01071,"Jackson County, Alabama",9415,37745,44870,7496,194.90,180.40,210.30,143,1,-0.6,-1,-0.2,453,430.6,476.9,325,2,0.50,-0.50,1.60,52419,17961,85599,14300,72006.33358
AL,01073,"Jefferson County, Alabama",121029,45610,574418,77179,171.60,167.50,175.90,1367,1,-1.5,-1.9,-1.2,451,444.6,458.3,3521,1,-0.80,-1.00,-0.50,660367,18328,86985,11687,6906.76548
AL,01077,"Lauderdale County, Alabama",16232,43125,81567,10395,159.30,149.60,169.50,211,1,-3,-5,-0.9,424,407.3,441.3,527,2,-0.50,-1.20,0.10,92596,17530,88089,11226,46573.2861
AL,01103,"Morgan County, Alabama",18936,45751,100668,17416,171.00,161.70,180.70,263,1,-0.6,-0.9,-0.3,478,461.8,494.0,717,2,-0.40,-1.00,0.20,119565,15837,84195,14566,38264.5423
AL,01081,"Lee County, Alabama",34561,44570,133319,15718,173.90,164.20,184.10,250,1,-0.8,-1.2,-0.4,385,370.2,399.4,566,2,-5.00,-10.00,0.30,156993,22014,84920,10012,28389.80082
AL,01083,"Limestone County, Alabama",12075,49570,74157,10648,147.00,136.90,157.60,165,1,-2.5,-3.5,-1.5,460,442.3,479.1,506,2,0.10,-0.50,0.70,91663,13173,80902,11616,54078.52678
AL,01115,"St. Clair County, Alabama",13417,51859,75134,8867,177.20,165.90,189.10,192,2,-0.6,-1.7,0.5,475,456.3,494.3,510,2,0.10,-0.40,0.50,87074,15409,86288,10183,59557.38797
AL,01089,"Madison County, Alabama",46436,57993,301568,40638,152.90,147.60,158.40,646,1,-1.7,-2.1,-1.4,446,436.9,455.5,1854,2,0.00,-0.50,0.50,353089,13151,85408,11509,16424.47088
AL,01119,"Sumter County, Alabama",5372,19501,10674,2530,188.30,157.60,223.50,30,2,-0.5,-1.4,0.5,473,423.5,527.7,75,3,1.50,0.30,2.70,13103,40998,81462,19309,148828.5126
AL,01093,"Marion County, Alabama",5960,32299,26209,3520,181.50,164.10,200.50,83,2,-0.4,-1,0.2,457,428.0,487.5,200,3,0.90,0.10,1.70,30168,19756,86877,11668,107063.7762
AL,01095,"Marshall County, Alabama",18794,38983,77603,15828,169.90,159.50,180.80,207,1,-0.8,-1.2,-0.4,447,430.0,465.3,525,2,-0.30,-0.70,0.00,94725,19841,81925,16709,41153.86646
AL,01097,"Mobile County, Alabama",77917,43809,348431,57787,177.70,172.40,183.10,891,1,-1.5,-1.8,-1.3,441,432.2,449.2,2178,1,-1.50,-2.10,-1.00,415395,18757,83879,13911,10546.34745
