fips,age_adjusted_ir,lower_95_ci_for_ir,upper_95_ci_for_ir,avg_annual_incidences,recent_trend,recent_5-year_ir-trend,lower_95_ci_for_ir-trend,upper_95_ci_for_ir-trend
02900,418.6 ,411.4, 425.8,2952,falling,-1.5 ,-1.7, -1.2
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
02290,558.3 ,471.7, 656.3,34,stable,0.7 ,-1.9, 3.4
02180,468.5 ,391.3, 555.5,33,stable,0.4 ,-1.8, 2.7
02164,439.5 ,286.5, 641.3,6,*,*,*,*
02020,439.1 ,427.3, 451.1,1189,falling,-1.2 ,-1.5, -1.0
02130,436.2 ,388.8, 488,69,falling,-1.3 ,-2.5, -0.1
02122,435.3 ,412.7, 458.8,320,falling,-1.1 ,-2.1, -0.2
02201,429.4 ,359.6, 509.3,33,stable,-0.8 ,-3.1, 1.6
02261,429 ,367, 498.4,42,falling,-1.8 ,-3.4, -0.1
02170,427.6 ,408.2, 447.7,426,falling,-5.5 ,-9.2, -1.8
02185,425 ,345, 516.3,28,stable,-1.2 ,-3.8, 1.6
02240,411.7 ,346.2, 486.3,32,stable,-2.3 ,-4.9, 0.3
02068,410.2 ,229.6, 662.9,7,stable,-3.0 ,-9.6, 4.0
02150,403.5 ,350.2, 462.5,50,stable,-1.5 ,-3.3, 0.2
02110,400.9 ,369.3, 434.5,138,falling,-1.1 ,-2.1, -0.1
02188,396.8 ,324.2, 480,23,stable,1.2 ,-1.0, 3.3
02270,387.8 ,303.2, 486.7,18,stable,-1.3 ,-4.3, 1.9
02090,386.7 ,366.6, 407.5,328,falling,-2.5 ,-3.1, -1.9
02016,383.1 ,247.7, 556.6,14,stable,0.0 ,-6.9, 7.3
02232,378 ,295.3, 478.7,17,stable,-0.6 ,-4.3, 3.2
02070,375.4 ,289.1, 478.2,15,stable,-1.8 ,-4.9, 1.3
02280,371.2 ,311.2, 440.7,31,falling,-6.2 ,-9.6, -2.8
02050,358.7 ,306.2, 417,44,stable,-1.9 ,-4.6, 0.8
02060,356.4 ,211.6, 571.4,4,stable,-1.6 ,-7.5, 4.7
02220,342.9 ,292, 400.4,35,stable,-1.8 ,-3.8, 0.2
02100,341.1 ,250.8, 456,11,falling,-3.4 ,-6.4, -0.4
02013,157.4 ,91.7, 254,5,*,*,*,*
02282,* ,*, *,3 or fewer,*,*,*,*
01000,450.8 ,448.3, 453.2,26900,falling,-0.7 ,-1.1, -0.3
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
01085,601.8 ,542.3, 666.4,82,rising,8.8 ,3.1, 14.8
01041,534.8 ,486.8, 586.5,99,rising,2.7 ,1.3, 4.1
01127,513.1 ,491.3, 535.8,446,rising,0.4 ,0.1, 0.7
01017,506.8 ,477.2, 537.9,236,stable,0.6 ,-0.5, 1.6
01051,505.3 ,484.6, 526.6,475,stable,0.5 ,0.0, 1.1
01075,501.5 ,456.7, 550,101,stable,1.1 ,-0.2, 2.5
01001,494.2 ,469.7, 519.6,316,stable,0.5 ,-0.2, 1.2
01011,488.8 ,434.2, 548.6,61,stable,-0.5 ,-2.2, 1.2
01087,487.3 ,447.3, 530.2,124,stable,1.4 ,-0.1, 2.9
01123,485.4 ,459.1, 513.1,284,rising,0.7 ,0.3, 1.2
01107,483.8 ,445.8, 524.4,129,stable,0.5 ,-0.7, 1.8
01079,482.6 ,453.1, 513.6,213,stable,-0.2 ,-1.1, 0.7
01047,480.8 ,453.1, 509.8,244,stable,0.5 ,-0.6, 1.5
01027,478.9 ,433.7, 527.9,90,stable,-0.4 ,-1.4, 0.5
01103,477.7 ,461.8, 494,717,stable,-0.4 ,-1.0, 0.2
01131,476.9 ,425.5, 533.2,69,stable,-0.2 ,-1.5, 1.1
01063,475.4 ,417, 540.2,56,stable,0.7 ,-0.9, 2.3
01115,475 ,456.3, 494.3,510,stable,0.1 ,-0.4, 0.5
01119,473.3 ,423.5, 527.7,75,rising,1.5 ,0.3, 2.7
01015,471.8 ,455.7, 488.4,687,stable,0.2 ,-0.3, 0.7
01025,471.3 ,437.7, 506.9,156,stable,-0.1 ,-0.6, 0.4
01007,466.1 ,430.1, 504.4,129,stable,0.3 ,-0.8, 1.4
01055,464.1 ,447.5, 481.1,633,stable,-0.1 ,-0.7, 0.4
01045,461.7 ,437, 487.4,277,stable,0.0 ,-1.0, 1.0
01083,460.4 ,442.3, 479.1,506,stable,0.1 ,-0.5, 0.7
01067,457.8 ,419.3, 499.2,115,falling,-1.0 ,-1.8, -0.1
01091,457 ,419.5, 497.1,119,stable,0.6 ,0.0, 1.2
01093,456.9 ,428, 487.5,200,rising,0.9 ,0.1, 1.7
01121,456.9 ,438, 476.4,471,stable,-0.8 ,-1.7, 0.1
01039,456.3 ,429.7, 484.3,241,stable,0.6 ,-0.5, 1.8
01003,456 ,444.6, 467.6,1314,stable,0.2 ,-0.3, 0.6
01061,455.1 ,424, 488.1,171,falling,-1.3 ,-2.3, -0.2
01071,453.2 ,430.6, 476.9,325,stable,0.5 ,-0.5, 1.6
01035,451.7 ,405.8, 501.7,81,stable,-3.1 ,-6.2, 0.0
01073,451.4 ,444.6, 458.3,3521,falling,-0.8 ,-1.0, -0.5
01101,451.4 ,439.5, 463.4,1151,stable,0.4 ,-0.1, 0.8
01023,447.9 ,404.8, 494.8,89,stable,-4.4 ,-11.8, 3.7
01095,447.4 ,430, 465.3,525,stable,-0.3 ,-0.7, 0.0
01105,447.1 ,392.3, 507.8,54,stable,0.5 ,-1.6, 2.6
01109,446.7 ,415.2, 480,158,stable,0.5 ,-0.3, 1.3
01089,446.1 ,436.9, 455.5,1854,stable,0.0 ,-0.5, 0.5
01057,442.9 ,403.9, 485,104,stable,0.6 ,-0.7, 2.0
01053,442.9 ,416.3, 470.9,215,falling,-0.9 ,-1.5, -0.3
01033,442.7 ,421, 465.4,333,rising,0.9 ,0.1, 1.6
01125,441.4 ,428.4, 454.7,926,falling,-1.7 ,-2.4, -1.0
01097,440.6 ,432.2, 449.2,2178,falling,-1.5 ,-2.1, -1.0
01029,440.2 ,399.4, 484.4,91,stable,0.3 ,-1.2, 1.9
01069,439.9 ,423.6, 456.6,582,falling,-1.0 ,-1.6, -0.4
01005,434.9 ,403.7, 468.1,152,stable,-0.1 ,-1.2, 1.0
01009,432.6 ,411.3, 454.9,324,stable,-0.1 ,-1.0, 0.7
01043,431.3 ,413.2, 449.9,459,stable,0.2 ,-0.3, 0.7
01013,430 ,394, 468.6,115,stable,0.5 ,-0.8, 1.8
01077,424 ,407.3, 441.3,527,stable,-0.5 ,-1.2, 0.1
01059,420.9 ,391.7, 451.8,160,stable,-0.1 ,-0.8, 0.7
01031,417.5 ,394.9, 441.2,265,stable,0.1 ,-0.6, 0.9
01099,416.6 ,382.8, 452.9,122,stable,0.5 ,-0.4, 1.4
01117,416.5 ,404.8, 428.5,1000,falling,-0.8 ,-1.3, -0.3
01113,414 ,391.5, 437.5,266,stable,-0.4 ,-2.6, 1.7
01129,412.8 ,374.6, 454.1,92,stable,-0.7 ,-1.7, 0.3
01111,412.4 ,380.1, 447,131,stable,0.5 ,-1.0, 1.9
01021,409.4 ,384.9, 435.1,220,stable,-0.6 ,-1.6, 0.4
01133,404.7 ,373.7, 437.8,139,falling,-2.0 ,-3.1, -0.8
01049,395.6 ,376.8, 415.2,349,falling,-1.2 ,-2.1, -0.3
01081,384.6 ,370.2, 399.4,566,stable,-5.0 ,-10.0, 0.3
01019,384.4 ,356.1, 414.7,152,stable,-0.6 ,-1.7, 0.6
01065,383.2 ,344.6, 425.3,79,stable,-0.4 ,-2.2, 1.4
01037,359 ,316.8, 405.9,59,stable,-1.1 ,-3.3, 1.2
05000,479 ,475.7, 482.2,17464,stable,0.6 ,-0.4, 1.6
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
05147,627.8 ,554.3, 709.2,61,rising,2.0 ,0.7, 3.4
05075,575.6 ,529.7, 624.6,128,rising,5.4 ,1.5, 9.5
05095,564.9 ,500.1, 636.7,62,stable,0.2 ,-1.3, 1.8
05025,555.6 ,494.5, 622.9,65,stable,1.5 ,-0.2, 3.3
05111,547.5 ,510.6, 586.5,172,stable,-0.3 ,-3.7, 3.3
05121,539 ,496.3, 584.5,129,stable,1.2 ,-0.2, 2.6
05021,535.3 ,490.5, 583.4,116,rising,1.8 ,0.4, 3.1
05069,530.7 ,508.6, 553.4,468,rising,0.9 ,0.3, 1.6
05103,529.3 ,493.8, 566.9,182,stable,0.4 ,-0.7, 1.6
05085,522.9 ,499.9, 546.7,402,stable,0.5 ,0.0, 1.0
05001,522.6 ,481.5, 566.5,129,rising,1.0 ,0.1, 2.0
05037,519.8 ,476.3, 566.5,112,rising,1.4 ,0.2, 2.6
