fips,median_income,median_income_white,median_income_black,median_income_nativeamerican,median_income_asian,median_income_hispanic
2013,61518,72639,31250,54750,62679,51250
2016,84306,97321,93750,48750,81250,77500
2020,78326,87235,50535,53935,63757,53926
2050,51012,92647,73661,41594,110625,160114
2060,79750,88000,,63333,,25625
2068,81544,81029,,47500,,
2070,54173,81161,,42212,,86458
2090,71068,74242,56353,48333,56339,55284
2100,58750,67888,,45714,,
2105,52419,64000,,35625,,68500
2110,85746,90553,106964,57821,80893,76083
2122,63684,64663,122660,46458,58125,64148
2130,64222,73313,,45536,45859,83250
2150,70887,82857,26827,48179,56585,87000
2158,38229,63750,,37238,155417,64167
2164,50781,72500,,38482,,
2170,72983,74141,55577,56724,53789,77367
2180,48868,85455,,37277,78056,86607
2185,72576,86250,107500,59554,126964,88563
2188,63648,99444,,52227,69375,
2195,67935,64813,,60417,61875,106250
2198,48523,53185,31250,42404,,
2220,70376,81029,143125,40625,75000,58333
2230,69318,72589,,43750,,54479
2240,62670,71349,51563,20774,33750,78750
2261,78810,82090,,45000,105417,
2275,48603,53295,,31250,51250,
2282,72500,76250,,45625,127188,
2290,38491,63000,,29750,76250,
1001,51281,56854,32073,,2499,61296
1003,50254,52594,26967,92670,36250,42468
1005,32964,45039,2117127132,,,
1007,38678,42263,2779343750,,,
1009,45813,46601,31507,61310,,35271
1011,31938,52930,24595,,,
1013,32229,42922,23453,,90833,
1015,41703,46399,26071,48409,,30575
1017,34177,42336,25442,,62417,
1019,36296,36679,32973,,11313,
1021,41627,43395,35189,83564,22981,28939
1023,33536,45321,21661,,,
1025,32011,41390,196502499,,,
1027,35327,37166,30343,12679,,24914
1029,38056,38886,3033517431,,,
1031,46729,51998,26605,46607,39063,32372
1033,40576,44296,2877830994,,,
1035,24900,32746,1736613365,,,
1037,31212,42727,23473,,,
1039,36444,39636,21875,26389,33177,51131
1041,36022,42771,21614,55227,,72868
1043,38971,39378,3333321888,,,
1045,45028,49655,26807,43088,73636,25115
1047,27306,51431,20462,,49583,
1049,38192,38909,27629,,65114,27912
1051,53555,58246,34370,48563,49342,29038
1053,32330,39557,21925,32321,,
1055,39220,41841,24950,35387,120714,35795
1057,34680,36892,1727030625,,,
1059,35372,36562,27340,27529,,34308
1061,36024,37725,24296,34063,,35023
1063,20541,45136,17731,,,
1065,32714,47035,2512734055,,,
1067,41997,50725,2220741477,,,
1069,41571,48967,24982,35662,45000,34063
1071,37745,38158,20238,48947,,21840
1073,45610,60497,31867,35396,55052,34768
1075,35450,37267,19792,,,
1077,43125,45208,25992,22697,59750,36034
1079,40003,40061,30417,50372,28472,28482
1081,44570,50270,29991,,52870,40330
1083,49570,51636,3897130285,,,
1085,25876,56045,19510,,,
1087,30738,39335,28249,23750,,64271
1089,57993,66922,35950,49044,64365,43009
1091,32042,54205,20262,,,
1093,32299,32698,27727,70972,36010,35757
1095,38983,39540,25688,,93125,24069
1097,43809,53398,28066,42353,48063,40875
1099,27257,37849,17029,50536,,14554
1101,44369,61342,34180,61684,72083,39923
1103,45751,48739,25944,101364,62917,34331
1105,24537,43906,19336,,,
1107,30330,41392,1872236833,,,
1109,32825,44427,21852,47188,,30375
1111,36924,40027,28219,,,
1113,37049,44182,30005,21734,,67639
1115,51859,53010,42069,,107875,48042
1117,70187,72574,58780,61964,81713,40143
1119,19501,48636,15730,,70000,
1121,35155,40996,24692,28681,129936,33661
1123,39206,47741,23739,11216,,27911
1125,46565,55568,31879,37361,42649,39005
1127,35843,36618,2489830725,,,
1129,42811,44052,32361,53409,,39583
1131,23750,43516,18154,,,
1133,33194,33770,,22857,,28205
