fips,m_w_ins,m_wo_ins,f_w_ins,f_wo_ins,all_w_ins,all_wo_ins
2013,876,1317,566,540,1442,1857
2016,2470,769,1707,564,4177,1333
2020,120747,23245,122426,21393,243173,44638
2050,6396,2708,6627,1774,13023,4482
2060,419,124,349,67,768,191
2068,822,253,674,250,1496,503
2070,1678,900,1837,546,3515,1446
2090,40605,6957,40210,5322,80815,12279
2100,960,422,944,228,1904,650
2105,798,328,711,288,1509,616
2110,13739,2433,13582,2213,27321,4646
2122,22391,6435,21668,5433,44059,11868
2130,5339,1428,5527,1082,10866,2510
2150,4941,1920,4943,1479,9884,3399
2158,2762,1427,2921,791,5683,2218
2164,445,286,513,230,958,516
2170,39282,9314,37751,8084,77033,17398
2180,3506,1605,3430,1114,6936,2719
2185,4847,1248,2579,910,7426,2158
2188,2690,1455,2542,1021,5232,2476
2195,1310,381,1193,320,2503,701
2198,2209,1252,2046,862,4255,2114
2220,3635,841,3591,692,7226,1533
2230,380,147,371,101,751,248
2240,2889,853,2454,666,5343,1519
2261,3670,1292,3566,884,7236,2176
2275,941,280,926,221,1867,501
2282,289,78,217,59,506,137
2290,1795,1225,1692,907,3487,2132
1001,23500,2781,25417,2727,48917,5508
1003,79768,13644,88015,11343,167783,24987
1005,9578,2163,10750,1569,20328,3732
1007,9342,1012,9421,995,18763,2007
1009,24629,3642,25922,3017,50551,6659
1011,4088,1066,4191,762,8279,1828
1013,8129,1223,9482,1236,17611,2459
1015,47992,7440,53518,6245,101510,13685
1017,13928,2198,15131,2476,29059,4674
1019,11401,1404,11730,1137,23131,2541
1021,18164,3252,18371,3712,36535,6964
1023,5384,934,6098,850,11482,1784
1025,9881,1825,11159,1934,21040,3759
1027,5518,1022,5839,886,11357,1908
1029,6234,1017,6582,1013,12816,2030
1031,20688,2891,22567,2783,43255,5674
1033,23057,3007,24955,3003,48012,6010
1035,4925,1217,5227,1449,10152,2666
1037,4474,866,4605,805,9079,1671
1039,15536,2520,16877,2437,32413,4957
1041,5847,939,6229,748,12076,1687
1043,33641,6024,34557,5978,68198,12002
1045,19228,3179,21602,3161,40830,6340
1047,16398,2891,19599,2951,35997,5842
1049,28735,6363,29767,5509,58502,11872
1051,31679,3669,36728,3425,68407,7094
1053,14055,3261,14958,3333,29013,6594
1055,42271,7457,46984,6023,89255,13480
1057,7557,832,7568,751,15125,1583
1059,12966,2200,13441,2767,26407,4967
1061,10913,2091,11495,1977,22408,4068
1063,3304,777,4081,484,7385,1261
1065,6051,997,7096,854,13147,1851
1067,7002,1164,7934,926,14936,2090
1069,42001,6928,47530,6187,89531,13115
1071,21752,4072,23118,3424,44870,7496
1073,266456,40710,307962,36469,574418,77179
1075,5876,885,6248,980,12124,1865
1077,38885,5228,42682,5167,81567,10395
1079,14223,2042,15306,1773,29529,3815
1081,64110,8577,69209,7141,133319,15718
1083,35387,5442,38770,5206,74157,10648
1085,4122,883,5036,563,9158,1446
1087,7564,1437,9797,1011,17361,2448
1089,145531,20878,156037,19760,301568,40638
1091,8133,1209,9532,1205,17665,2414
1093,12619,1902,13590,1618,26209,3520
1095,37272,8805,40331,7023,77603,15828
1097,163094,28997,185337,28790,348431,57787
1099,8832,1717,9448,2005,18280,3722
1101,88803,15281,105296,13407,194099,28688
1103,48705,9071,51963,8345,100668,17416
1105,3926,666,4539,757,8465,1423
1107,8174,1403,8582,1095,16756,2498
1109,13996,1760,15437,1754,29433,3514
1111,9324,1666,9877,1545,19201,3211
1113,22282,4430,24884,4777,47166,9207
1115,36930,4549,38204,4318,75134,8867
1117,88004,9927,95944,7945,183948,17872
1119,4522,1343,6152,1187,10674,2530
1121,32170,5151,36501,4860,68671,10011
1123,16879,2385,18924,2428,35803,4813
1125,85157,10782,93413,9656,178570,20438
1127,26799,4750,29620,4050,56419,8800
1129,7140,1263,7114,1352,14254,2615
1131,4326,879,4850,921,9176,1800
1133,10251,1462,10390,1726,20641,3188
5001,7568,1273,8583,1068,16151,2341
5003,8544,1538,9494,1478,18038,3016
5005,17259,2372,18915,2026,36174,4398
5007,100609,16255,105249,14411,205858,30666
5009,15299,2602,16771,2130,32070,4732
5011,4534,989,4797,793,9331,1782
5013,2227,411,2228,320,4455,731
5015,11137,2296,11452,2537,22589,4833
5017,4159,829,4935,763,9094,1592
5019,9169,1412,10481,1349,19650,2761
5021,6214,1308,6654,1090,12868,2398
5023,10744,1960,10629,2018,21373,3978
5025,3802,415,3698,517,7500,932
5027,9961,1427,10874,1642,20835,3069
