fips,age_adjusted_mr,lower_95_ci_for_mr,upper_95_ci_for_mr,avg_deaths_per_year,recent_mr_trend,recent_5-year_mr-trend,lower_95_ci_mr-trend,upper_95_ci_mr-trend
02900,149.6 ,145.2, 154.2,975,falling,-3.2 ,-4.6, -1.6
00000,152.4 ,152.3, 152.6,598381,falling,-2.1 ,-2.3, -1.8
02290,243.2 ,187.1, 311,14,stable,0.5 ,-1.1, 2.0
02185,237 ,175.9, 310.1,13,stable,-0.9 ,-2.6, 0.9
02050,209.1 ,163.9, 261.4,20,stable,-0.4 ,-1.6, 0.8
02180,208.3 ,154.3, 273.2,13,stable,0.3 ,-1.2, 1.8
02070,198.3 ,136.5, 277,8,stable,0.0 ,-2.2, 2.2
02270,196.3 ,134.6, 273.5,8,stable,-1.0 ,-2.8, 0.8
02201,167.3 ,123.7, 221.4,12,stable,-1.3 ,-3.2, 0.7
02122,163 ,149, 177.9,114,falling,-1.7 ,-2.3, -1.1
02170,161.8 ,149.4, 174.8,149,falling,-1.1 ,-1.7, -0.5
02280,159.4 ,121, 207.5,13,stable,-0.5 ,-1.7, 0.7
02261,157.3 ,118.1, 204.8,14,falling,-2.0 ,-3.3, -0.8
02240,152.6 ,111.6, 203.5,11,stable,-1.4 ,-2.8, 0.1
02188,152.1 ,106.5, 209.2,8,stable,-1.6 ,-3.2, 0.1
02232,148.1 ,101, 212.8,7,*,*,*,*
02110,147.5 ,127.7, 169.6,46,falling,-1.2 ,-2.1, -0.4
02020,146.1 ,139.1, 153.4,365,falling,-1.5 ,-1.8, -1.1
02130,135.2 ,109.3, 165.5,21,falling,-1.8 ,-2.9, -0.7
02150,131.5 ,100.3, 168.6,14,falling,-2.2 ,-3.5, -1.0
02090,128.7 ,116.5, 141.6,98,falling,-1.7 ,-2.4, -1.1
02016,124.7 ,51.7, 238.6,4,*,*,*,*
02220,119.9 ,91.3, 155.2,13,falling,-1.7 ,-2.9, -0.5
02013,* ,*, *,3 or fewer,*,*,*,*
02060,* ,*, *,3 or fewer,*,*,*,*
02068,* ,*, *,3 or fewer,*,*,*,*
02100,* ,*, *,3 or fewer,*,*,*,*
02164,* ,*, *,3 or fewer,*,*,*,*
02282,* ,*, *,3 or fewer,*,*,*,*
01000,170 ,168.5, 171.5,10416,falling,-1.7 ,-1.9, -1.5
00000,152.4 ,152.3, 152.6,598381,falling,-2.1 ,-2.3, -1.8
01127,215 ,201.3, 229.5,192,stable,-0.3 ,-0.6, 0.1
01131,208.2 ,175.7, 245.4,31,stable,0.0 ,-0.9, 0.9
01011,206.9 ,172.5, 246.5,26,stable,-0.2 ,-1.1, 0.6
01087,206.1 ,181.1, 233.9,54,falling,-1.0 ,-1.4, -0.6
01041,203.7 ,175.2, 235.8,39,stable,-0.3 ,-1.1, 0.5
01085,202.6 ,169, 241.4,28,stable,-0.5 ,-1.2, 0.2
01113,202.1 ,186.5, 218.7,129,falling,-0.8 ,-1.2, -0.4
01047,197.2 ,179.9, 215.9,101,falling,-0.9 ,-1.2, -0.5
01091,195.7 ,172, 222,52,falling,-0.7 ,-1.3, -0.2
01071,194.9 ,180.4, 210.3,143,falling,-0.6 ,-1.0, -0.2
01057,193.7 ,169.2, 221.3,47,stable,-0.4 ,-1.1, 0.3
01053,193.1 ,175.9, 211.7,95,falling,-0.9 ,-1.3, -0.6
01039,189.7 ,173.6, 207.2,107,stable,-0.5 ,-1.0, 0.0
01119,188.3 ,157.6, 223.5,30,stable,-0.5 ,-1.4, 0.5
01017,188.1 ,170.7, 207,90,falling,-0.7 ,-1.1, -0.3
01123,186.1 ,170.4, 203,112,stable,-0.5 ,-1.1, 0.1
01067,185.7 ,162.3, 211.9,49,stable,-0.6 ,-1.2, 0.0
01109,185.1 ,165.3, 206.7,67,falling,-1.0 ,-1.5, -0.5
01075,185.1 ,159.5, 214.2,40,stable,-0.6 ,-1.2, 0.1
01061,184.9 ,166, 205.6,73,stable,-0.5 ,-1.1, 0.1
01129,184.9 ,160.1, 212.7,42,stable,-0.7 ,-1.5, 0.1
01121,184.8 ,173.2, 197.1,198,falling,-0.8 ,-1.1, -0.5
01079,184.2 ,166.6, 203.3,84,falling,-0.6 ,-1.2, -0.1
01027,183.3 ,157.4, 212.9,37,stable,-0.4 ,-1.3, 0.5
01007,183.1 ,160.8, 207.7,50,falling,-0.8 ,-1.3, -0.3
01005,182.7 ,162.8, 204.5,64,falling,-1.2 ,-1.9, -0.5
01009,182.2 ,168.8, 196.4,142,falling,-0.9 ,-1.3, -0.5
01093,181.5 ,164.1, 200.5,83,stable,-0.4 ,-1.0, 0.2
01055,181.1 ,171.2, 191.6,258,falling,-1.0 ,-1.3, -0.7
01035,180.9 ,154.2, 211.5,36,falling,-1.5 ,-2.2, -0.8
01015,180.3 ,170.6, 190.4,269,falling,-1.3 ,-1.6, -1.0
01033,178.4 ,165.2, 192.5,141,falling,-0.8 ,-1.1, -0.5
01097,177.7 ,172.4, 183.1,891,falling,-1.5 ,-1.8, -1.3
01115,177.2 ,165.9, 189.1,192,stable,-0.6 ,-1.7, 0.5
01105,176.2 ,143.6, 214.5,22,stable,-0.3 ,-1.3, 0.7
01025,175.8 ,156.4, 197.2,62,falling,-1.0 ,-1.7, -0.4
01051,174.3 ,162.2, 187.1,161,falling,-1.1 ,-1.4, -0.8
01081,173.9 ,164.2, 184.1,250,falling,-0.8 ,-1.2, -0.4
01059,173.8 ,155.5, 193.7,68,falling,-1.0 ,-1.6, -0.4
01099,172.2 ,151.6, 195.2,54,falling,-1.0 ,-1.7, -0.4
01021,172.2 ,156.8, 188.8,95,falling,-0.8 ,-1.3, -0.2
01073,171.6 ,167.5, 175.9,1367,falling,-1.5 ,-1.9, -1.2
01045,171.4 ,157, 186.8,107,falling,-1.0 ,-1.3, -0.7
01103,171 ,161.7, 180.7,263,falling,-0.6 ,-0.9, -0.3
01111,170 ,150, 192.1,57,stable,-0.7 ,-1.3, 0.0
01095,169.9 ,159.5, 180.8,207,falling,-0.8 ,-1.2, -0.4
