State,StateFIPS,CountyFIPS,AreaName,All_Poverty,M_Poverty,F_Poverty
AK,02,013,"Aleutians East Borough, Alaska",553,334,219
AK,02,016,"Aleutians West Census Area, Alaska",499,273,226
AK,02,020,"Anchorage Municipality, Alaska",23914,10698,13216
AK,02,050,"Bethel Census Area, Alaska",4364,2199,2165
AK,02,060,"Bristol Bay Borough, Alaska",69,33,36
AK,02,068,"Denali Borough, Alaska",254,139,115
AK,02,070,"Dillingham Census Area, Alaska",894,446,448
AK,02,090,"Fairbanks North Star Borough, Alaska",7752,3523,4229
AK,02,100,"Haines Borough, Alaska",135,74,61
AK,02,105,"Hoonah-Angoon Census Area, Alaska",252,102,150
AK,02,110,"Juneau City and Borough, Alaska",2110,1145,965
AK,02,122,"Kenai Peninsula Borough, Alaska",5558,2596,2962
AK,02,130,"Ketchikan Gateway Borough, Alaska",1640,792,848
AK,02,150,"Kodiak Island Borough, Alaska",1552,962,590
AK,02,158,"Kusilvak Census Area, Alaska",2622,1290,1332
AK,02,164,"Lake and Peninsula Borough, Alaska",247,119,128
AK,02,170,"Matanuska-Susitna Borough, Alaska",9454,4346,5108
AK,02,180,"Nome Census Area, Alaska",2592,1399,1193
AK,02,185,"North Slope Borough, Alaska",976,532,444
AK,02,188,"Northwest Arctic Borough, Alaska",1824,951,873
AK,02,195,"Petersburg Borough, Alaska",327,174,153
AK,02,198,"Prince of Wales-Hyder Census Area, Alaska",921,475,446
AK,02,220,"Sitka City and Borough, Alaska",798,424,374
AK,02,230,"Skagway Municipality, Alaska",44,16,28
AK,02,240,"Southeast Fairbanks Census Area, Alaska",1011,507,504
AK,02,261,"Valdez-Cordova Census Area, Alaska",1029,598,431
AK,02,275,"Wrangell City and Borough, Alaska",279,153,126
AK,02,282,"Yakutat City and Borough, Alaska",35,25,10
AK,02,290,"Yukon-Koyukuk Census Area, Alaska",1252,666,586
AL,01,001,"Autauga County, Alabama",7057,2983,4074
AL,01,003,"Baldwin County, Alabama",25798,12018,13780
AL,01,005,"Barbour County, Alabama",6421,2856,3565
AL,01,007,"Bibb County, Alabama",3488,1495,1993
AL,01,009,"Blount County, Alabama",9552,4593,4959
AL,01,011,"Bullock County, Alabama",2486,981,1505
AL,01,013,"Butler County, Alabama",5094,2073,3021
AL,01,015,"Calhoun County, Alabama",23325,9500,13825
AL,01,017,"Chambers County, Alabama",7273,3091,4182
AL,01,019,"Cherokee County, Alabama",4918,2421,2497
AL,01,021,"Chilton County, Alabama",8288,3871,4417
AL,01,023,"Choctaw County, Alabama",3093,1206,1887
AL,01,025,"Clarke County, Alabama",6107,2495,3612
AL,01,027,"Clay County, Alabama",2201,902,1299
AL,01,029,"Cleburne County, Alabama",2508,1069,1439
AL,01,031,"Coffee County, Alabama",8581,3867,4714
AL,01,033,"Colbert County, Alabama",9406,4124,5282
AL,01,035,"Conecuh County, Alabama",4320,2011,2309
AL,01,037,"Coosa County, Alabama",2073,961,1112
AL,01,039,"Covington County, Alabama",7515,3263,4252
AL,01,041,"Crenshaw County, Alabama",2288,1068,1220
AL,01,043,"Cullman County, Alabama",14814,6760,8054
AL,01,045,"Dale County, Alabama",9306,4092,5214
AL,01,047,"Dallas County, Alabama",14580,5889,8691
AL,01,049,"DeKalb County, Alabama",13133,5783,7350
AL,01,051,"Elmore County, Alabama",10334,4413,5921
AL,01,053,"Escambia County, Alabama",8609,3695,4914
AL,01,055,"Etowah County, Alabama",20078,8854,11224
AL,01,057,"Fayette County, Alabama",3055,1449,1606
AL,01,059,"Franklin County, Alabama",7020,2598,4422
AL,01,061,"Geneva County, Alabama",6149,2689,3460
AL,01,063,"Greene County, Alabama",3479,1562,1917
AL,01,065,"Hale County, Alabama",4011,1638,2373
AL,01,067,"Henry County, Alabama",2657,1085,1572
AL,01,069,"Houston County, Alabama",18746,7893,10853
AL,01,071,"Jackson County, Alabama",9415,4398,5017
AL,01,073,"Jefferson County, Alabama",121029,52750,68279
AL,01,075,"Lamar County, Alabama",3382,1302,2080
AL,01,077,"Lauderdale County, Alabama",16232,6772,9460
AL,01,079,"Lawrence County, Alabama",6225,2780,3445
AL,01,081,"Lee County, Alabama",34561,15869,18692
AL,01,083,"Limestone County, Alabama",12075,5206,6869
AL,01,085,"Lowndes County, Alabama",3035,1353,1682
AL,01,087,"Macon County, Alabama",4636,2060,2576
AL,01,089,"Madison County, Alabama",46436,21195,25241
AL,01,091,"Marengo County, Alabama",5244,2056,3188
AL,01,093,"Marion County, Alabama",5960,2805,3155
AL,01,095,"Marshall County, Alabama",18794,8426,10368
AL,01,097,"Mobile County, Alabama",77917,31927,45990
AL,01,099,"Monroe County, Alabama",6901,2912,3989
AL,01,101,"Montgomery County, Alabama",49918,21699,28219
AL,01,103,"Morgan County, Alabama",18936,7640,11296
AL,01,105,"Perry County, Alabama",3373,1510,1863
AL,01,107,"Pickens County, Alabama",4801,2116,2685
AL,01,109,"Pike County, Alabama",8158,3810,4348
AL,01,111,"Randolph County, Alabama",4511,2048,2463
AL,01,113,"Russell County, Alabama",12054,4782,7272
