id,artist,album,song,playlist,media_type,genre,Bytes
1,AC/DC,"For Those About To Rock We Salute You","For Those About To Rock (We Salute You)",Music,"MPEG audio file",Rock,11170334
1,AC/DC,"For Those About To Rock We Salute You","For Those About To Rock (We Salute You)","Heavy Metal Classic","MPEG audio file",Rock,11170334
6,AC/DC,"For Those About To Rock We Salute You","Put The Finger On You",Music,"MPEG audio file",Rock,6713451
7,AC/DC,"For Those About To Rock We Salute You","Let's Get It Up",Music,"MPEG audio file",Rock,7636561
8,AC/DC,"For Those About To Rock We Salute You","Inject The Venom",Music,"MPEG audio file",Rock,6852860
9,AC/DC,"For Those About To Rock We Salute You",Snowballed,Music,"MPEG audio file",Rock,6599424
10,AC/DC,"For Those About To Rock We Salute You","Evil Walks",Music,"MPEG audio file",Rock,8611245
11,AC/DC,"For Those About To Rock We Salute You",C.O.D.,Music,"MPEG audio file",Rock,6566314
12,AC/DC,"For Those About To Rock We Salute You","Breaking The Rules",Music,"MPEG audio file",Rock,8596840
13,AC/DC,"For Those About To Rock We Salute You","Night Of The Long Knives",Music,"MPEG audio file",Rock,6706347
14,AC/DC,"For Those About To Rock We Salute You",Spellbound,Music,"MPEG audio file",Rock,8817038
15,AC/DC,"Let There Be Rock","Go Down",Music,"MPEG audio file",Rock,10847611
16,AC/DC,"Let There Be Rock","Dog Eat Dog",Music,"MPEG audio file",Rock,7032162
17,AC/DC,"Let There Be Rock","Let There Be Rock",Music,"MPEG audio file",Rock,12021261
18,AC/DC,"Let There Be Rock","Bad Boy Boogie",Music,"MPEG audio file",Rock,8776140
19,AC/DC,"Let There Be Rock","Problem Child",Music,"MPEG audio file",Rock,10617116
20,AC/DC,"Let There Be Rock",Overdose,Music,"MPEG audio file",Rock,12066294
21,AC/DC,"Let There Be Rock","Hell Ain't A Bad Place To Be",Music,"MPEG audio file",Rock,8331286
22,AC/DC,"Let There Be Rock","Whole Lotta Rosie",Music,"MPEG audio file",Rock,10547154
23,Aerosmith,"Big Ones","Walk On Water",Music,"MPEG audio file",Rock,9719579
23,Aerosmith,"Big Ones","Walk On Water","90’s Music","MPEG audio file",Rock,9719579
24,Aerosmith,"Big Ones","Love In An Elevator",Music,"MPEG audio file",Rock,10552051
24,Aerosmith,"Big Ones","Love In An Elevator","90’s Music","MPEG audio file",Rock,10552051
25,Aerosmith,"Big Ones","Rag Doll",Music,"MPEG audio file",Rock,8675345
25,Aerosmith,"Big Ones","Rag Doll","90’s Music","MPEG audio file",Rock,8675345
26,Aerosmith,"Big Ones","What It Takes",Music,"MPEG audio file",Rock,10144730
26,Aerosmith,"Big Ones","What It Takes","90’s Music","MPEG audio file",Rock,10144730
27,Aerosmith,"Big Ones","Dude (Looks Like A Lady)",Music,"MPEG audio file",Rock,8679940
27,Aerosmith,"Big Ones","Dude (Looks Like A Lady)","90’s Music","MPEG audio file",Rock,8679940
28,Aerosmith,"Big Ones","Janie's Got A Gun",Music,"MPEG audio file",Rock,10869391
28,Aerosmith,"Big Ones","Janie's Got A Gun","90’s Music","MPEG audio file",Rock,10869391
29,Aerosmith,"Big Ones","Cryin'",Music,"MPEG audio file",Rock,10056995
29,Aerosmith,"Big Ones","Cryin'","90’s Music","MPEG audio file",Rock,10056995
30,Aerosmith,"Big Ones",Amazing,Music,"MPEG audio file",Rock,11616195
30,Aerosmith,"Big Ones",Amazing,"90’s Music","MPEG audio file",Rock,11616195
31,Aerosmith,"Big Ones","Blind Man",Music,"MPEG audio file",Rock,7877453
31,Aerosmith,"Big Ones","Blind Man","90’s Music","MPEG audio file",Rock,7877453
32,Aerosmith,"Big Ones","Deuces Are Wild",Music,"MPEG audio file",Rock,7074167
32,Aerosmith,"Big Ones","Deuces Are Wild","90’s Music","MPEG audio file",Rock,7074167
33,Aerosmith,"Big Ones","The Other Side",Music,"MPEG audio file",Rock,7983270
33,Aerosmith,"Big Ones","The Other Side","90’s Music","MPEG audio file",Rock,7983270
34,Aerosmith,"Big Ones",Crazy,Music,"MPEG audio file",Rock,10402398
34,Aerosmith,"Big Ones",Crazy,"90’s Music","MPEG audio file",Rock,10402398
35,Aerosmith,"Big Ones","Eat The Rich",Music,"MPEG audio file",Rock,8262039
35,Aerosmith,"Big Ones","Eat The Rich","90’s Music","MPEG audio file",Rock,8262039
36,Aerosmith,"Big Ones",Angel,Music,"MPEG audio file",Rock,9989331
36,Aerosmith,"Big Ones",Angel,"90’s Music","MPEG audio file",Rock,9989331
37,Aerosmith,"Big Ones","Livin' On The Edge",Music,"MPEG audio file",Rock,12374569
37,Aerosmith,"Big Ones","Livin' On The Edge","90’s Music","MPEG audio file",Rock,12374569
38,"Alanis Morissette","Jagged Little Pill","All I Really Want",Music,"MPEG audio file",Rock,9375567
38,"Alanis Morissette","Jagged Little Pill","All I Really Want","90’s Music","MPEG audio file",Rock,9375567
39,"Alanis Morissette","Jagged Little Pill","You Oughta Know",Music,"MPEG audio file",Rock,8196916
39,"Alanis Morissette","Jagged Little Pill","You Oughta Know","90’s Music","MPEG audio file",Rock,8196916
40,"Alanis Morissette","Jagged Little Pill",Perfect,Music,"MPEG audio file",Rock,6145404
40,"Alanis Morissette","Jagged Little Pill",Perfect,"90’s Music","MPEG audio file",Rock,6145404
41,"Alanis Morissette","Jagged Little Pill","Hand In My Pocket",Music,"MPEG audio file",Rock,7224246
41,"Alanis Morissette","Jagged Little Pill","Hand In My Pocket","90’s Music","MPEG audio file",Rock,7224246
42,"Alanis Morissette","Jagged Little Pill","Right Through You",Music,"MPEG audio file",Rock,5793082
42,"Alanis Morissette","Jagged Little Pill","Right Through You","90’s Music","MPEG audio file",Rock,5793082
43,"Alanis Morissette","Jagged Little Pill",Forgiven,Music,"MPEG audio file",Rock,9753256
43,"Alanis Morissette","Jagged Little Pill",Forgiven,"90’s Music","MPEG audio file",Rock,9753256
44,"Alanis Morissette","Jagged Little Pill","You Learn",Music,"MPEG audio file",Rock,7824837
44,"Alanis Morissette","Jagged Little Pill","You Learn","90’s Music","MPEG audio file",Rock,7824837
45,"Alanis Morissette","Jagged Little Pill","Head Over Feet",Music,"MPEG audio file",Rock,8758008
45,"Alanis Morissette","Jagged Little Pill","Head Over Feet","90’s Music","MPEG audio file",Rock,8758008
46,"Alanis Morissette","Jagged Little Pill","Mary Jane",Music,"MPEG audio file",Rock,9163588
46,"Alanis Morissette","Jagged Little Pill","Mary Jane","90’s Music","MPEG audio file",Rock,9163588
47,"Alanis Morissette","Jagged Little Pill",Ironic,Music,"MPEG audio file",Rock,7598866
47,"Alanis Morissette","Jagged Little Pill",Ironic,"90’s Music","MPEG audio file",Rock,7598866
48,"Alanis Morissette","Jagged Little Pill","Not The Doctor",Music,"MPEG audio file",Rock,7604601
48,"Alanis Morissette","Jagged Little Pill","Not The Doctor","90’s Music","MPEG audio file",Rock,7604601
49,"Alanis Morissette","Jagged Little Pill","Wake Up",Music,"MPEG audio file",Rock,9703359
49,"Alanis Morissette","Jagged Little Pill","Wake Up","90’s Music","MPEG audio file",Rock,9703359
50,"Alanis Morissette","Jagged Little Pill","You Oughta Know (Alternate)",Music,"MPEG audio file",Rock,16008629
50,"Alanis Morissette","Jagged Little Pill","You Oughta Know (Alternate)","90’s Music","MPEG audio file",Rock,16008629
51,"Alice In Chains",Facelift,"We Die Young",Music,"MPEG audio file",Rock,4925362
51,"Alice In Chains",Facelift,"We Die Young","90’s Music","MPEG audio file",Rock,4925362
52,"Alice In Chains",Facelift,"Man In The Box",Music,"MPEG audio file",Rock,9310272
52,"Alice In Chains",Facelift,"Man In The Box","90’s Music","MPEG audio file",Rock,9310272
52,"Alice In Chains",Facelift,"Man In The Box",Grunge,"MPEG audio file",Rock,9310272
53,"Alice In Chains",Facelift,"Sea Of Sorrow",Music,"MPEG audio file",Rock,11316328
53,"Alice In Chains",Facelift,"Sea Of Sorrow","90’s Music","MPEG audio file",Rock,11316328
54,"Alice In Chains",Facelift,"Bleed The Freak",Music,"MPEG audio file",Rock,7847716
54,"Alice In Chains",Facelift,"Bleed The Freak","90’s Music","MPEG audio file",Rock,7847716
55,"Alice In Chains",Facelift,"I Can't Remember",Music,"MPEG audio file",Rock,7302550
55,"Alice In Chains",Facelift,"I Can't Remember","90’s Music","MPEG audio file",Rock,7302550
