track_playlist_id,playlist,track_id
1,Music,1
2,Heavy Metal Classic,1
3,Music,6
4,Music,7
5,Music,8
6,Music,9
7,Music,10
8,Music,11
9,Music,12
10,Music,13
11,Music,14
12,Music,15
13,Music,16
14,Music,17
15,Music,18
16,Music,19
17,Music,20
18,Music,21
19,Music,22
20,Music,23
21,90’s Music,23
22,Music,24
23,90’s Music,24
24,Music,25
25,90’s Music,25
26,Music,26
27,90’s Music,26
28,Music,27
29,90’s Music,27
30,Music,28
31,90’s Music,28
32,Music,29
33,90’s Music,29
34,Music,30
35,90’s Music,30
36,Music,31
37,90’s Music,31
38,Music,32
39,90’s Music,32
40,Music,33
41,90’s Music,33
42,Music,34
43,90’s Music,34
44,Music,35
45,90’s Music,35
46,Music,36
47,90’s Music,36
48,Music,37
49,90’s Music,37
50,Music,38
51,90’s Music,38
52,Music,39
53,90’s Music,39
54,Music,40
55,90’s Music,40
56,Music,41
57,90’s Music,41
58,Music,42
59,90’s Music,42
60,Music,43
61,90’s Music,43
62,Music,44
63,90’s Music,44
64,Music,45
65,90’s Music,45
66,Music,46
67,90’s Music,46
68,Music,47
69,90’s Music,47
70,Music,48
71,90’s Music,48
72,Music,49
73,90’s Music,49
74,Music,50
75,90’s Music,50
76,Music,51
77,90’s Music,51
78,Music,52
79,90’s Music,52
80,Grunge,52
81,Music,53
82,90’s Music,53
83,Music,54
84,90’s Music,54
85,Music,55
86,90’s Music,55
87,Music,56
88,90’s Music,56
89,Music,57
90,90’s Music,57
91,Music,58
92,90’s Music,58
93,Music,59
94,90’s Music,59
95,Music,60
96,90’s Music,60
97,Music,61
98,90’s Music,61
99,Music,62
100,90’s Music,62
101,Music,63
102,Music,64
103,Music,65
104,Music,66
105,Music,67
106,Music,68
107,Music,69
108,Music,70
109,Music,71
110,Music,72
111,Music,73
112,Music,74
113,Music,75
114,Music,76
115,Music,77
116,90’s Music,77
117,Music,78
118,90’s Music,78
119,Music,79
120,90’s Music,79
121,Music,80
122,90’s Music,80
123,Music,81
124,90’s Music,81
125,Music,82
126,90’s Music,82
127,Music,83
128,90’s Music,83
129,Music,84
130,90’s Music,84
131,Music,85
132,Music,86
133,Music,87
134,Music,88
135,Music,89
136,Music,90
137,Music,91
138,Music,92
139,Music,93
140,Music,94
141,Music,95
142,Music,96
143,Music,97
144,Music,98
145,Music,99
146,Music,100
147,Music,101
148,Music,102
149,Music,103
150,Music,104
151,Music,105
152,Music,106
153,Music,107
154,Music,108
155,Music,109
156,Music,110
157,Music,111
158,90’s Music,111
159,Music,112
160,90’s Music,112
161,Music,113
162,90’s Music,113
163,Music,114
164,90’s Music,114
165,Music,115
166,90’s Music,115
167,Music,116
168,90’s Music,116
169,Music,117
170,90’s Music,117
171,Music,118
172,90’s Music,118
173,Music,119
174,90’s Music,119
175,Music,120
176,90’s Music,120
177,Music,121
178,90’s Music,121
179,Music,122
180,90’s Music,122
181,Music,123
182,Music,124
183,Music,125
184,Music,126
185,Music,127
186,Music,128
187,Music,129
188,Music,130
189,Music,131
190,Music,132
191,Music,133
192,Music,134
193,Music,135
194,Music,136
195,Music,137
196,Music,138
197,Music,139
198,Music,140
199,Music,141
200,Music,142
201,Music,143
202,Music,144
203,Music,145
204,Music,146
205,Music,147
206,Music,148
207,Music,149
208,Music,150
209,Music,151
210,Music,152
211,Heavy Metal Classic,152
212,Music,153
213,Music,154
214,Music,155
215,Music,156
216,Music,157
217,Music,158
218,Music,159
219,Music,160
220,Heavy Metal Classic,160
221,Music,161
222,Music,162
223,Music,163
224,Music,164
225,Music,165
226,Music,166
227,90’s Music,166
228,Music,167
229,90’s Music,167
230,Music,168
231,90’s Music,168
232,Music,169
233,90’s Music,169
234,Music,170
235,90’s Music,170
236,Music,171
237,90’s Music,171
238,Music,172
239,90’s Music,172
240,Music,173
241,90’s Music,173
242,Music,174
243,90’s Music,174
244,Music,175
245,90’s Music,175
246,Music,176
247,90’s Music,176
248,Music,177
249,90’s Music,177
250,Music,178
251,90’s Music,178
252,Music,179
253,90’s Music,179
254,Music,180
255,90’s Music,180
256,Music,181
257,90’s Music,181
258,Music,182
259,90’s Music,182
260,Music,183
261,90’s Music,183
262,Music,184
263,90’s Music,184
264,Music,185
265,90’s Music,185
266,Music,186
267,90’s Music,186
268,Music,187
269,90’s Music,187
270,Music,188
271,90’s Music,188
272,Music,189
273,90’s Music,189
274,Music,190
275,90’s Music,190
276,Music,191
277,90’s Music,191
278,Music,192
279,90’s Music,192
280,Music,193
281,90’s Music,193
282,Music,194
283,Music,195
284,Music,196
285,Music,197
286,Music,198
287,Music,199
288,Music,200
289,Music,201
290,Music,202
291,Music,203
292,Music,204
293,Music,205
294,90’s Music,205
295,Music,206
296,90’s Music,206
297,Music,207
298,90’s Music,207
299,Music,208
300,90’s Music,208
301,Music,209
302,90’s Music,209
303,Music,210
304,90’s Music,210
305,Music,211
306,90’s Music,211
307,Music,212
308,90’s Music,212
309,Music,213
310,90’s Music,213
311,Music,214
312,90’s Music,214
313,Music,215
314,90’s Music,215
315,Brazilian Music,215
316,Music,216
317,90’s Music,216
318,Music,217
319,90’s Music,217
320,Music,218
321,90’s Music,218
322,Music,219
323,90’s Music,219
324,Brazilian Music,219
325,Music,220
326,90’s Music,220
327,Brazilian Music,220
328,Music,221
329,90’s Music,221
330,Music,222
331,90’s Music,222
332,Music,223
333,Music,224
334,Music,225
335,Music,226
336,Music,227
337,Music,228
338,Brazilian Music,228
339,Music,229
340,Music,230
341,Brazilian Music,230
342,Music,231
343,Music,232
344,Music,233
345,Music,234
346,Music,235
347,Music,236
348,Brazilian Music,236
349,Music,237
350,Music,238
351,Music,239
352,Music,240
353,Music,241
354,Music,242
355,Music,243
356,Music,244
357,Music,245
358,Music,246
359,90’s Music,246
360,Music,247
361,90’s Music,247
362,Music,248
363,90’s Music,248
364,Music,249
365,90’s Music,249
366,Music,250
367,90’s Music,250
368,Music,251
369,90’s Music,251
370,Music,252
371,90’s Music,252
372,Music,253
373,90’s Music,253
374,Music,254
375,90’s Music,254
376,Music,255
377,90’s Music,255
378,Music,256
379,90’s Music,256
380,Music,257
381,90’s Music,257
382,Music,258
383,90’s Music,258
384,Music,259
385,90’s Music,259
386,Music,260
387,90’s Music,260
388,Music,261
389,90’s Music,261
390,Music,262
391,90’s Music,262
392,Music,263
393,90’s Music,263
394,Music,264
395,90’s Music,264
396,Music,265
397,90’s Music,265
398,Music,266
399,90’s Music,266
400,Music,267
401,90’s Music,267
402,Music,268
403,90’s Music,268
404,Music,269
405,90’s Music,269
406,Music,270
407,90’s Music,270
408,Music,271
409,90’s Music,271
410,Music,272
411,90’s Music,272
412,Music,273
413,90’s Music,273
414,Music,274
415,90’s Music,274
416,Music,275
417,90’s Music,275
418,Music,276
419,90’s Music,276
420,Music,277
421,90’s Music,277
422,Music,278
423,90’s Music,278
424,Music,279
425,90’s Music,279
426,Music,280
427,90’s Music,280
428,Music,281
429,90’s Music,281
430,Music,282
431,Music,283
432,Music,284
433,Music,285
434,Music,286
435,Music,287
436,Music,288
437,Music,289
438,Music,290
439,Music,291
440,Music,292
441,Music,293
442,Music,294
443,Music,295
444,Music,296
445,Music,297
446,Music,298
447,Music,299
