track_id,song,media_type,bytes
1,For Those About To Rock (We Salute You),MPEG audio file,11170334
6,Put The Finger On You,MPEG audio file,6713451
7,Let's Get It Up,MPEG audio file,7636561
8,Inject The Venom,MPEG audio file,6852860
9,Snowballed,MPEG audio file,6599424
10,Evil Walks,MPEG audio file,8611245
11,C.O.D.,MPEG audio file,6566314
12,Breaking The Rules,MPEG audio file,8596840
13,Night Of The Long Knives,MPEG audio file,6706347
14,Spellbound,MPEG audio file,8817038
15,Go Down,MPEG audio file,10847611
16,Dog Eat Dog,MPEG audio file,7032162
17,Let There Be Rock,MPEG audio file,12021261
18,Bad Boy Boogie,MPEG audio file,8776140
19,Problem Child,MPEG audio file,10617116
20,Overdose,MPEG audio file,12066294
21,Hell Ain't A Bad Place To Be,MPEG audio file,8331286
22,Whole Lotta Rosie,MPEG audio file,10547154
23,Walk On Water,MPEG audio file,9719579
24,Love In An Elevator,MPEG audio file,10552051
25,Rag Doll,MPEG audio file,8675345
26,What It Takes,MPEG audio file,10144730
27,Dude (Looks Like A Lady),MPEG audio file,8679940
28,Janie's Got A Gun,MPEG audio file,10869391
29,Cryin',MPEG audio file,10056995
30,Amazing,MPEG audio file,11616195
31,Blind Man,MPEG audio file,7877453
32,Deuces Are Wild,MPEG audio file,7074167
33,The Other Side,MPEG audio file,7983270
34,Crazy,MPEG audio file,10402398
35,Eat The Rich,MPEG audio file,8262039
36,Angel,MPEG audio file,9989331
37,Livin' On The Edge,MPEG audio file,12374569
38,All I Really Want,MPEG audio file,9375567
39,You Oughta Know,MPEG audio file,8196916
40,Perfect,MPEG audio file,6145404
41,Hand In My Pocket,MPEG audio file,7224246
42,Right Through You,MPEG audio file,5793082
43,Forgiven,MPEG audio file,9753256
44,You Learn,MPEG audio file,7824837
45,Head Over Feet,MPEG audio file,8758008
46,Mary Jane,MPEG audio file,9163588
47,Ironic,MPEG audio file,7598866
48,Not The Doctor,MPEG audio file,7604601
49,Wake Up,MPEG audio file,9703359
50,You Oughta Know (Alternate),MPEG audio file,16008629
51,We Die Young,MPEG audio file,4925362
52,Man In The Box,MPEG audio file,9310272
53,Sea Of Sorrow,MPEG audio file,11316328
54,Bleed The Freak,MPEG audio file,7847716
55,I Can't Remember,MPEG audio file,7302550
56,"Love, Hate, Love",MPEG audio file,12575396
57,It Ain't Like That,MPEG audio file,8993793
58,Sunshine,MPEG audio file,9216057
59,Put You Down,MPEG audio file,6420530
60,Confusion,MPEG audio file,11183647
61,I Know Somethin (Bout You),MPEG audio file,8497788
62,Real Thing,MPEG audio file,7937731
63,Desafinado,MPEG audio file,5990473
64,Garota De Ipanema,MPEG audio file,9348428
65,Samba De Uma Nota Só (One Note Samba),MPEG audio file,4535401
66,Por Causa De Você,MPEG audio file,5536496
67,Ligia,MPEG audio file,8226934
68,Fotografia,MPEG audio file,4198774
69,Dindi (Dindi),MPEG audio file,8149148
70,Se Todos Fossem Iguais A Você (Instrumental),MPEG audio file,4393377
71,Falando De Amor,MPEG audio file,7121735
72,Angela,MPEG audio file,5574957
73,Corcovado (Quiet Nights Of Quiet Stars),MPEG audio file,6687994
74,Outra Vez,MPEG audio file,4110053
75,O Boto (Bôto),MPEG audio file,12089673
76,"Canta, Canta Mais",MPEG audio file,8719426
77,Enter Sandman,MPEG audio file,7286305
78,Master Of Puppets,MPEG audio file,14375310
79,Harvester Of Sorrow,MPEG audio file,12372536
80,The Unforgiven,MPEG audio file,10422447
81,Sad But True,MPEG audio file,9405526
82,Creeping Death,MPEG audio file,10110980
83,Wherever I May Roam,MPEG audio file,12033110
84,Welcome Home (Sanitarium),MPEG audio file,11406431
85,Cochise,MPEG audio file,5339931
86,Show Me How to Live,MPEG audio file,6672176
87,Gasoline,MPEG audio file,6709793
88,What You Are,MPEG audio file,5988186
89,Like a Stone,MPEG audio file,7059624
90,Set It Off,MPEG audio file,6321091
91,Shadow on the Sun,MPEG audio file,8245793
92,I am the Highway,MPEG audio file,8041411
93,Exploder,MPEG audio file,4948095
94,Hypnotize,MPEG audio file,4961887
95,Bring'em Back Alive,MPEG audio file,7911634
96,Light My Way,MPEG audio file,7289084
97,Getaway Car,MPEG audio file,7193162
98,The Last Remaining Light,MPEG audio file,7622615
99,Your Time Has Come,MPEG audio file,8273592
100,Out Of Exile,MPEG audio file,9506571
101,Be Yourself,MPEG audio file,9106160
102,Doesn't Remind Me,MPEG audio file,8357387
103,Drown Me Slowly,MPEG audio file,7609178
