track_id,album_id,song,media_type,bytes
1,1,For Those About To Rock (We Salute You),MPEG audio file,11170334
6,1,Put The Finger On You,MPEG audio file,6713451
7,1,Let's Get It Up,MPEG audio file,7636561
8,1,Inject The Venom,MPEG audio file,6852860
9,1,Snowballed,MPEG audio file,6599424
10,1,Evil Walks,MPEG audio file,8611245
11,1,C.O.D.,MPEG audio file,6566314
12,1,Breaking The Rules,MPEG audio file,8596840
13,1,Night Of The Long Knives,MPEG audio file,6706347
14,1,Spellbound,MPEG audio file,8817038
15,2,Go Down,MPEG audio file,10847611
16,2,Dog Eat Dog,MPEG audio file,7032162
17,2,Let There Be Rock,MPEG audio file,12021261
18,2,Bad Boy Boogie,MPEG audio file,8776140
19,2,Problem Child,MPEG audio file,10617116
20,2,Overdose,MPEG audio file,12066294
21,2,Hell Ain't A Bad Place To Be,MPEG audio file,8331286
22,2,Whole Lotta Rosie,MPEG audio file,10547154
23,3,Walk On Water,MPEG audio file,9719579
24,3,Love In An Elevator,MPEG audio file,10552051
25,3,Rag Doll,MPEG audio file,8675345
26,3,What It Takes,MPEG audio file,10144730
27,3,Dude (Looks Like A Lady),MPEG audio file,8679940
28,3,Janie's Got A Gun,MPEG audio file,10869391
29,3,Cryin',MPEG audio file,10056995
30,3,Amazing,MPEG audio file,11616195
31,3,Blind Man,MPEG audio file,7877453
32,3,Deuces Are Wild,MPEG audio file,7074167
33,3,The Other Side,MPEG audio file,7983270
34,3,Crazy,MPEG audio file,10402398
35,3,Eat The Rich,MPEG audio file,8262039
36,3,Angel,MPEG audio file,9989331
37,3,Livin' On The Edge,MPEG audio file,12374569
38,4,All I Really Want,MPEG audio file,9375567
39,4,You Oughta Know,MPEG audio file,8196916
40,4,Perfect,MPEG audio file,6145404
41,4,Hand In My Pocket,MPEG audio file,7224246
42,4,Right Through You,MPEG audio file,5793082
43,4,Forgiven,MPEG audio file,9753256
44,4,You Learn,MPEG audio file,7824837
45,4,Head Over Feet,MPEG audio file,8758008
46,4,Mary Jane,MPEG audio file,9163588
47,4,Ironic,MPEG audio file,7598866
48,4,Not The Doctor,MPEG audio file,7604601
49,4,Wake Up,MPEG audio file,9703359
50,4,You Oughta Know (Alternate),MPEG audio file,16008629
51,5,We Die Young,MPEG audio file,4925362
52,5,Man In The Box,MPEG audio file,9310272
53,5,Sea Of Sorrow,MPEG audio file,11316328
54,5,Bleed The Freak,MPEG audio file,7847716
55,5,I Can't Remember,MPEG audio file,7302550
56,5,"Love, Hate, Love",MPEG audio file,12575396
57,5,It Ain't Like That,MPEG audio file,8993793
58,5,Sunshine,MPEG audio file,9216057
59,5,Put You Down,MPEG audio file,6420530
60,5,Confusion,MPEG audio file,11183647
61,5,I Know Somethin (Bout You),MPEG audio file,8497788
62,5,Real Thing,MPEG audio file,7937731
63,6,Desafinado,MPEG audio file,5990473
64,6,Garota De Ipanema,MPEG audio file,9348428
65,6,Samba De Uma Nota Só (One Note Samba),MPEG audio file,4535401
66,6,Por Causa De Você,MPEG audio file,5536496
67,6,Ligia,MPEG audio file,8226934
68,6,Fotografia,MPEG audio file,4198774
69,6,Dindi (Dindi),MPEG audio file,8149148
70,6,Se Todos Fossem Iguais A Você (Instrumental),MPEG audio file,4393377
71,6,Falando De Amor,MPEG audio file,7121735
72,6,Angela,MPEG audio file,5574957
73,6,Corcovado (Quiet Nights Of Quiet Stars),MPEG audio file,6687994
74,6,Outra Vez,MPEG audio file,4110053
75,6,O Boto (Bôto),MPEG audio file,12089673
76,6,"Canta, Canta Mais",MPEG audio file,8719426
77,7,Enter Sandman,MPEG audio file,7286305
78,7,Master Of Puppets,MPEG audio file,14375310
79,7,Harvester Of Sorrow,MPEG audio file,12372536
80,7,The Unforgiven,MPEG audio file,10422447
81,7,Sad But True,MPEG audio file,9405526
82,7,Creeping Death,MPEG audio file,10110980
83,7,Wherever I May Roam,MPEG audio file,12033110
84,7,Welcome Home (Sanitarium),MPEG audio file,11406431
85,8,Cochise,MPEG audio file,5339931
86,8,Show Me How to Live,MPEG audio file,6672176
87,8,Gasoline,MPEG audio file,6709793
88,8,What You Are,MPEG audio file,5988186
89,8,Like a Stone,MPEG audio file,7059624
90,8,Set It Off,MPEG audio file,6321091
91,8,Shadow on the Sun,MPEG audio file,8245793
92,8,I am the Highway,MPEG audio file,8041411
93,8,Exploder,MPEG audio file,4948095
94,8,Hypnotize,MPEG audio file,4961887
95,8,Bring'em Back Alive,MPEG audio file,7911634
96,8,Light My Way,MPEG audio file,7289084
97,8,Getaway Car,MPEG audio file,7193162
98,8,The Last Remaining Light,MPEG audio file,7622615
99,9,Your Time Has Come,MPEG audio file,8273592
100,9,Out Of Exile,MPEG audio file,9506571
101,9,Be Yourself,MPEG audio file,9106160
102,9,Doesn't Remind Me,MPEG audio file,8357387
103,9,Drown Me Slowly,MPEG audio file,7609178
104,9,Heaven's Dead,MPEG audio file,9006158
105,9,The Worm,MPEG audio file,7710800
106,9,Man Or Animal,MPEG audio file,7542942
107,9,Yesterday To Tomorrow,MPEG audio file,8944205
108,9,Dandelion,MPEG audio file,9003592
109,9,#1 Zero,MPEG audio file,9731988
110,9,The Curse,MPEG audio file,10029406
111,10,Money,MPEG audio file,2365897
112,10,Long Tall Sally,MPEG audio file,1707084
113,10,Bad Boy,MPEG audio file,1862126
114,10,Twist And Shout,MPEG audio file,2582553
115,10,Please Mr. Postman,MPEG audio file,2206986
116,10,C'Mon Everybody,MPEG audio file,2247846
117,10,Rock 'N' Roll Music,MPEG audio file,2276788
118,10,Slow Down,MPEG audio file,2616981
119,10,Roadrunner,MPEG audio file,2301989
120,10,Carol,MPEG audio file,2306019
121,10,Good Golly Miss Molly,MPEG audio file,1704918
122,10,20 Flight Rock,MPEG audio file,1299960
123,11,Quadrant,MPEG audio file,8538199
124,11,Snoopy's search-Red baron,MPEG audio file,15075616
125,11,"Spanish moss-""A sound portrait""-Spanish moss",MPEG audio file,8217867
126,11,Moon germs,MPEG audio file,9714812
127,11,Stratus,MPEG audio file,19115680
128,11,The pleasant pheasant,MPEG audio file,10630578
129,11,Solo-Panhandler,MPEG audio file,8230661
130,11,Do what cha wanna,MPEG audio file,9018565
131,12,Intro/ Low Down,MPEG audio file,10642901
132,12,13 Years Of Grief,MPEG audio file,8137421
133,12,Stronger Than Death,MPEG audio file,9869647
134,12,All For You,MPEG audio file,7726948
135,12,Super Terrorizer,MPEG audio file,10513905
136,12,Phoney Smile Fake Hellos,MPEG audio file,9011701
137,12,Lost My Better Half,MPEG audio file,9355309
138,12,Bored To Tears,MPEG audio file,8130090
139,12,A.N.D.R.O.T.A.Z.,MPEG audio file,8574746
140,12,Born To Booze,MPEG audio file,9257358
141,12,World Of Trouble,MPEG audio file,11820932
142,12,No More Tears,MPEG audio file,18041629
143,12,The Begining... At Last,MPEG audio file,11965109
144,13,Heart Of Gold,MPEG audio file,6417460
145,13,Snowblind,MPEG audio file,13842549
146,13,Like A Bird,MPEG audio file,9115657
147,13,Blood In The Wall,MPEG audio file,9359475
148,13,The Beginning...At Last,MPEG audio file,8975814
149,14,Black Sabbath,MPEG audio file,12440200
150,14,The Wizard,MPEG audio file,8646737
151,14,Behind The Wall Of Sleep,MPEG audio file,7169049
152,14,N.I.B.,MPEG audio file,12029390
153,14,Evil Woman,MPEG audio file,6655170
154,14,Sleeping Village,MPEG audio file,21128525
155,14,Warning,MPEG audio file,6893363
156,15,Wheels Of Confusion / The Straightener,MPEG audio file,16065830
157,15,Tomorrow's Dream,MPEG audio file,6252071
158,15,Changes,MPEG audio file,9175517
159,15,FX,MPEG audio file,3331776
160,15,Supernaut,MPEG audio file,9245971
161,13,Snowblind,MPEG audio file,10813386
162,15,Cornucopia,MPEG audio file,7653880
163,15,Laguna Sunrise,MPEG audio file,5671374
164,15,St. Vitus Dance,MPEG audio file,4884969
165,15,Under The Sun/Every Day Comes and Goes,MPEG audio file,11360486
166,16,Smoked Pork,MPEG audio file,1549074
167,16,Body Count's In The House,MPEG audio file,6715413
168,16,Now Sports,MPEG audio file,161266
169,16,Body Count,MPEG audio file,10489139
170,16,A Statistic,MPEG audio file,211997
171,16,Bowels Of The Devil,MPEG audio file,7324125
172,16,The Real Problem,MPEG audio file,387360
173,16,KKK Bitch,MPEG audio file,5709631
174,16,D Note,MPEG audio file,3067064
175,16,Voodoo,MPEG audio file,9875962
