year,age_0_to_5,age_6_to_11,age_12_to_14,age_15_to_17,age_18_to_24,age_25_to_49,age_50_plus,victim_ethnicity.white,victim_ethnicity.black,victim_ethnicity.native_american,victim_ethnicity.asian,victim_gender.male,victim_gender.female,deaths
1992,83,77,230,1156,4944,8196,1254,6986,8597,81,277,13386,2554,15940
1993,98,95,255,1271,5267,8450,1349,7160,9243,62,320,14007,2778,16785
1994,74,75,220,1222,5110,8062,1265,6807,8887,60,274,13516,2513,16028
1995,89,63,235,1193,4492,7153,1214,6438,7635,78,287,12086,2353,14438
1996,74,73,148,1011,4052,6486,1172,5750,6953,64,250,10899,2118,13016
1997,67,71,116,885,3904,6008,1014,5221,6520,67,256,10161,1904,12065
1998,67,63,122,671,3518,5383,939,4898,5649,62,154,8889,1874,10763
1999,66,62,111,676,3146,5003,885,4450,5241,63,196,8229,1720,9950
2000,55,46,99,540,3134,5197,889,4338,5400,54,167,8278,1681,9959
2001,71,54,73,505,3205,5095,862,4356,5271,52,185,8263,1600,9864
2002,69,65,83,539,3440,5471,918,4572,5754,61,198,8835,1750,10585
2003,55,41,79,511,3567,5555,929,4553,5921,47,217,9122,1615,10737
2004,50,44,91,556,3246,5445,1027,4546,5690,65,159,8939,1520,10459
2005,48,42,103,612,3473,5796,1020,4750,6095,50,199,9448,1646,11094
2006,53,61,131,701,3694,5783,1057,4679,6503,57,240,9722,1757,11479
2007,55,61,108,699,3599,5817,1031,4659,6494,45,173,9679,1691,11370
2008,58,60,96,645,3211,5577,1117,4547,6022,44,150,9076,1687,10763
2009,68,55,77,562,3025,5174,1152,4172,5705,53,184,8432,1681,10113
2010,58,36,72,538,2904,5043,1120,3918,5693,43,118,8197,1575,9771
2011,69,48,70,452,3006,4932,1163,3849,5698,42,152,8156,1586,9741
2012,52,77,78,445,3038,5232,1209,3965,5989,30,146,8499,1631,10130
2013,56,49,60,392,2838,5100,1204,3766,5760,37,135,8129,1569,9698
2014,80,63,59,402,2817,4895,1156,3666,5618,50,138,7897,1574,9472
2015,67,60,71,441,3165,5968,1353,4127,6765,80,154,9380,1746,11126
2016,97,56,66,492,3442,6807,1503,4660,7554,79,171,10454,2009,12463
2017,76,62,70,561,3192,6758,1571,4615,7412,98,165,10287,2003,12290
2018,73,56,78,524,2976,6453,1483,4342,7036,88,176,9659,1983,11642
2019,66,93,73,540,3062,6536,1455,4189,7379,91,164,9891,1934,11824
