year,age,gender,ethnicity,deaths,age_code,gender_code,ethnicity_code
2000,12 to 14,Male,Asian,1,2,0,0
2000,15 to 17,Male,Asian,5,3,0,0
2000,18 to 24,Male,Asian,32,4,0,0
2000,25 to 49,Male,Asian,53,5,0,0
2000,50+,Male,Asian,9,6,0,0
2000,6 to 11,Male,Asian,0,1,0,0
2000,Under 5,Male,Asian,1,0,0,0
2001,12 to 14,Male,Asian,1,2,0,0
2001,15 to 17,Male,Asian,8,3,0,0
2001,18 to 24,Male,Asian,50,4,0,0
2001,25 to 49,Male,Asian,80,5,0,0
2001,50+,Male,Asian,14,6,0,0
2001,6 to 11,Male,Asian,1,1,0,0
2001,Under 5,Male,Asian,1,0,0,0
2002,12 to 14,Male,Asian,1,2,0,0
2002,15 to 17,Male,Asian,8,3,0,0
2002,18 to 24,Male,Asian,54,4,0,0
2002,25 to 49,Male,Asian,85,5,0,0
2002,50+,Male,Asian,14,6,0,0
2002,6 to 11,Male,Asian,1,1,0,0
2002,Under 5,Male,Asian,1,0,0,0
2003,12 to 14,Male,Asian,1,2,0,0
2003,15 to 17,Male,Asian,9,3,0,0
2003,18 to 24,Male,Asian,61,4,0,0
2003,25 to 49,Male,Asian,95,5,0,0
2003,50+,Male,Asian,16,6,0,0
2003,6 to 11,Male,Asian,1,1,0,0
2003,Under 5,Male,Asian,1,0,0,0
2004,12 to 14,Male,Asian,1,2,0,0
2004,15 to 17,Male,Asian,7,3,0,0
2004,18 to 24,Male,Asian,42,4,0,0
2004,25 to 49,Male,Asian,71,5,0,0
2004,50+,Male,Asian,13,6,0,0
2004,6 to 11,Male,Asian,1,1,0,0
2004,Under 5,Male,Asian,1,0,0,0
2005,12 to 14,Male,Asian,2,2,0,0
2005,15 to 17,Male,Asian,9,3,0,0
2005,18 to 24,Male,Asian,53,4,0,0
2005,25 to 49,Male,Asian,89,5,0,0
2005,50+,Male,Asian,16,6,0,0
2005,6 to 11,Male,Asian,1,1,0,0
2005,Under 5,Male,Asian,1,0,0,0
2006,12 to 14,Male,Asian,2,2,0,0
2006,15 to 17,Male,Asian,12,3,0,0
2006,18 to 24,Male,Asian,65,4,0,0
2006,25 to 49,Male,Asian,102,5,0,0
2006,50+,Male,Asian,19,6,0,0
2006,6 to 11,Male,Asian,1,1,0,0
2006,Under 5,Male,Asian,1,0,0,0
2007,12 to 14,Male,Asian,1,2,0,0
2007,15 to 17,Male,Asian,9,3,0,0
2007,18 to 24,Male,Asian,47,4,0,0
2007,25 to 49,Male,Asian,75,5,0,0
2007,50+,Male,Asian,13,6,0,0
2007,6 to 11,Male,Asian,1,1,0,0
2007,Under 5,Male,Asian,1,0,0,0
2008,12 to 14,Male,Asian,1,2,0,0
2008,15 to 17,Male,Asian,8,3,0,0
2008,18 to 24,Male,Asian,38,4,0,0
2008,25 to 49,Male,Asian,66,5,0,0
2008,50+,Male,Asian,13,6,0,0
2008,6 to 11,Male,Asian,1,1,0,0
2008,Under 5,Male,Asian,1,0,0,0
2009,12 to 14,Male,Asian,1,2,0,0
2009,15 to 17,Male,Asian,9,3,0,0
2009,18 to 24,Male,Asian,46,4,0,0
2009,25 to 49,Male,Asian,78,5,0,0
2009,50+,Male,Asian,17,6,0,0
2009,6 to 11,Male,Asian,1,1,0,0
2009,Under 5,Male,Asian,1,0,0,0
2010,12 to 14,Male,Asian,1,2,0,0
2010,15 to 17,Male,Asian,5,3,0,0
2010,18 to 24,Male,Asian,29,4,0,0
2010,25 to 49,Male,Asian,51,5,0,0
2010,50+,Male,Asian,11,6,0,0
2010,6 to 11,Male,Asian,0,1,0,0
2010,Under 5,Male,Asian,1,0,0,0
2011,12 to 14,Male,Asian,1,2,0,0
2011,15 to 17,Male,Asian,6,3,0,0
2011,18 to 24,Male,Asian,39,4,0,0
2011,25 to 49,Male,Asian,64,5,0,0
2011,50+,Male,Asian,15,6,0,0
2011,6 to 11,Male,Asian,1,1,0,0
2011,Under 5,Male,Asian,1,0,0,0
2012,12 to 14,Male,Asian,1,2,0,0
2012,15 to 17,Male,Asian,5,3,0,0
