date_id,date
0,12/1/2020
1,12/2/2020
2,12/3/2020
3,12/4/2020
4,12/5/2020
5,12/6/2020
6,12/7/2020
7,12/8/2020
8,12/9/2020
9,12/10/2020
10,12/11/2020
11,12/12/2020
12,12/13/2020
13,12/14/2020
14,12/15/2020
15,12/16/2020
16,12/17/2020
17,12/18/2020
18,12/19/2020
19,12/20/2020
20,12/21/2020
21,12/22/2020
22,12/23/2020
23,12/24/2020
24,12/25/2020
25,12/26/2020
26,12/27/2020
27,12/28/2020
28,12/29/2020
29,12/30/2020
30,12/31/2020
31,1/1/2021
32,1/2/2021
33,1/3/2021
34,1/4/2021
35,1/5/2021
36,1/6/2021
37,1/7/2021
38,1/8/2021
39,1/9/2021
40,1/10/2021
41,1/11/2021
42,1/12/2021
43,1/13/2021
44,1/14/2021
45,1/15/2021
46,1/16/2021
47,1/17/2021
48,1/18/2021
49,1/19/2021
50,1/20/2021
51,1/21/2021
52,1/22/2021
53,1/23/2021
54,1/24/2021
55,1/25/2021
56,1/26/2021
57,1/27/2021
58,1/28/2021
59,1/29/2021
60,1/30/2021
61,1/31/2021
62,2/1/2021
63,2/2/2021
64,2/3/2021
65,2/4/2021
66,2/5/2021
67,2/6/2021
68,2/7/2021
69,2/8/2021
70,2/9/2021
71,2/10/2021
72,2/11/2021
73,2/12/2021
74,2/13/2021
75,2/14/2021
76,2/15/2021
77,2/16/2021
78,2/17/2021
79,2/18/2021
80,2/19/2021
81,2/20/2021
82,2/21/2021
83,2/22/2021
84,2/23/2021
85,2/24/2021
86,2/25/2021
87,2/26/2021
88,2/27/2021
89,2/28/2021
90,3/1/2021
91,3/2/2021
92,3/3/2021
93,3/4/2021
94,3/5/2021
95,3/6/2021
96,3/7/2021
97,3/8/2021
98,3/9/2021
99,3/10/2021
100,3/11/2021
101,3/12/2021
102,3/13/2021
103,3/14/2021
104,3/15/2021
105,3/16/2021
106,3/17/2021
107,3/18/2021
108,3/19/2021
109,3/20/2021
110,3/21/2021
111,3/22/2021
112,3/23/2021
113,3/24/2021
114,3/25/2021
115,3/26/2021
116,3/27/2021
117,3/28/2021
118,3/29/2021
119,3/30/2021
120,3/31/2021
121,4/1/2021
122,4/2/2021
123,4/3/2021
124,4/4/2021
125,4/5/2021
126,4/6/2021
127,4/7/2021
128,4/8/2021
129,4/9/2021
130,4/10/2021
131,4/11/2021
132,4/12/2021
133,4/13/2021
134,4/14/2021
135,4/15/2021
136,4/16/2021
137,4/17/2021
138,4/18/2021
139,4/19/2021
140,4/20/2021
141,4/21/2021
142,4/22/2021
143,4/23/2021
144,4/24/2021
145,4/25/2021
146,4/26/2021
147,4/27/2021
148,4/28/2021
149,4/29/2021
150,4/30/2021
151,5/1/2021
152,5/2/2021
153,5/3/2021
154,5/4/2021
155,5/5/2021
156,5/6/2021
157,5/7/2021
158,5/8/2021
159,5/9/2021
160,5/10/2021
161,5/11/2021
162,5/12/2021
163,5/13/2021
164,5/14/2021
165,5/15/2021
166,5/16/2021
167,5/17/2021
168,5/18/2021
169,5/19/2021
170,5/20/2021
171,5/21/2021
172,5/22/2021
173,5/23/2021
174,5/24/2021
175,5/25/2021
176,5/26/2021
177,5/27/2021
178,5/28/2021
179,5/29/2021
180,5/30/2021
181,5/31/2021
182,6/1/2021
183,6/2/2021
184,6/3/2021
185,6/4/2021
186,6/5/2021
187,6/6/2021
188,6/7/2021
189,6/8/2021
190,6/9/2021
191,6/10/2021
192,6/11/2021
193,6/12/2021
194,6/13/2021
195,6/14/2021
196,6/15/2021
197,6/16/2021
198,6/17/2021
199,6/18/2021
200,6/19/2021
201,6/20/2021
202,6/21/2021
203,6/22/2021
204,6/23/2021
205,6/24/2021
206,6/25/2021
207,6/26/2021
208,6/27/2021
209,6/28/2021
210,6/29/2021
211,6/30/2021
212,7/1/2021
213,7/2/2021
214,7/3/2021
215,7/4/2021
216,7/5/2021
217,7/6/2021
218,7/7/2021
219,7/8/2021
220,7/9/2021
221,7/10/2021
222,7/11/2021
223,7/12/2021
224,7/13/2021
225,7/14/2021
226,7/15/2021
227,7/16/2021
228,7/17/2021
229,7/18/2021
230,7/19/2021
231,7/20/2021
232,7/21/2021
233,7/22/2021
234,7/23/2021
235,7/24/2021
236,7/25/2021
237,7/26/2021
238,7/27/2021
239,7/28/2021
240,7/29/2021
241,7/30/2021
242,7/31/2021
243,8/1/2021
244,8/2/2021
245,8/3/2021
246,8/4/2021
247,8/5/2021
248,8/6/2021
249,8/7/2021
250,8/8/2021
251,8/9/2021
252,8/10/2021
253,8/11/2021
254,8/12/2021
255,8/13/2021
256,8/14/2021
257,8/15/2021
258,8/16/2021
259,8/17/2021
260,8/18/2021
261,8/19/2021
262,8/20/2021
263,8/21/2021
264,8/22/2021
265,8/23/2021
266,8/24/2021
267,8/25/2021
268,8/26/2021
269,8/27/2021
270,8/28/2021
271,8/29/2021
272,8/30/2021
273,8/31/2021
274,9/1/2021
275,9/2/2021
276,9/3/2021
277,9/4/2021
278,9/5/2021
279,9/6/2021
280,9/7/2021
281,9/8/2021
282,9/9/2021
283,9/10/2021
284,9/11/2021
285,9/12/2021
286,9/13/2021
287,9/14/2021
288,9/15/2021
289,9/16/2021
290,9/17/2021
291,9/18/2021
292,9/19/2021
293,9/20/2021
294,9/21/2021
295,9/22/2021
296,9/23/2021
297,9/24/2021
298,9/25/2021
299,9/26/2021
300,9/27/2021
301,9/28/2021
302,9/29/2021
303,9/30/2021
304,10/1/2021
305,10/2/2021
306,10/3/2021
307,10/4/2021
308,10/5/2021
309,10/6/2021
310,10/7/2021
311,10/8/2021
312,10/9/2021
313,10/10/2021
314,10/11/2021
315,10/12/2021
316,10/13/2021
317,10/14/2021
318,10/15/2021
319,10/16/2021
320,10/17/2021
321,10/18/2021
322,10/19/2021
323,10/20/2021
324,10/21/2021
325,10/22/2021
326,10/23/2021
327,10/24/2021
328,10/25/2021
329,10/26/2021
330,10/27/2021
331,10/28/2021
332,10/29/2021
333,10/30/2021
334,10/31/2021
335,11/1/2021
336,11/2/2021
337,11/3/2021
338,11/4/2021
339,11/5/2021
340,11/6/2021
341,11/7/2021
342,11/8/2021
343,11/9/2021
344,11/10/2021
345,11/11/2021
346,11/12/2021
347,11/13/2021
348,11/14/2021
349,11/15/2021
350,11/16/2021
351,11/17/2021
352,11/18/2021
353,11/19/2021
354,11/20/2021
355,11/21/2021
356,11/22/2021
357,11/23/2021
358,11/24/2021
359,11/25/2021
360,11/26/2021
361,11/27/2021
362,11/28/2021
363,11/29/2021
364,11/30/2021
365,12/1/2021
366,12/2/2021
367,12/3/2021
368,12/4/2021
369,12/5/2021
370,12/6/2021
371,12/7/2021
372,12/8/2021
373,12/9/2021
374,12/10/2021
375,12/11/2021
376,12/12/2021
377,12/13/2021
378,12/14/2021
379,12/15/2021
380,12/16/2021
381,12/17/2021
382,12/18/2021
383,12/19/2021
384,12/20/2021
385,12/21/2021
386,12/22/2021
387,12/23/2021
388,12/24/2021
389,12/25/2021
390,12/26/2021
391,12/27/2021
392,12/28/2021
393,12/29/2021
394,12/30/2021
395,12/31/2021
396,1/1/2022
397,1/2/2022
398,1/3/2022
399,1/4/2022
400,1/5/2022
401,1/6/2022
402,1/7/2022
403,1/8/2022
404,1/9/2022
405,1/10/2022
406,1/11/2022
407,1/12/2022
408,1/13/2022
409,1/14/2022
410,1/15/2022
411,1/16/2022
412,1/17/2022
413,1/18/2022
414,1/19/2022
415,1/20/2022
416,1/21/2022
417,1/22/2022
418,1/23/2022
419,1/24/2022
420,1/25/2022
421,1/26/2022
422,1/27/2022
423,1/28/2022
424,1/29/2022
425,1/30/2022
426,1/31/2022
427,2/1/2022
428,2/2/2022
429,2/3/2022
430,2/4/2022
431,2/5/2022
432,2/6/2022
433,2/7/2022
434,2/8/2022
435,2/9/2022
436,2/10/2022
437,2/11/2022
438,2/12/2022
439,2/13/2022
440,2/14/2022
441,2/15/2022
442,2/16/2022
443,2/17/2022
444,2/18/2022
445,2/19/2022
446,2/20/2022
447,2/21/2022
448,2/22/2022
449,2/23/2022
450,2/24/2022
451,2/25/2022
452,2/26/2022
453,2/27/2022
454,2/28/2022
455,3/1/2022
456,3/2/2022
457,3/3/2022
458,3/4/2022
459,3/5/2022
460,3/6/2022
461,3/7/2022
462,3/8/2022
463,3/9/2022
464,3/10/2022
465,3/11/2022
466,3/12/2022
467,3/13/2022
468,3/14/2022
469,3/15/2022
470,3/16/2022
471,3/17/2022
472,3/18/2022
473,3/19/2022
474,3/20/2022
475,3/21/2022
476,3/22/2022
477,3/23/2022
478,3/24/2022
479,3/25/2022
480,3/26/2022
481,3/27/2022
482,3/28/2022
483,3/29/2022
484,3/30/2022
485,3/31/2022
486,4/1/2022
487,4/2/2022
488,4/3/2022
489,4/4/2022
490,4/5/2022
491,4/6/2022
492,4/7/2022
493,4/8/2022
494,4/9/2022
495,4/10/2022
496,4/11/2022
497,4/12/2022
498,4/13/2022
499,4/14/2022
500,4/15/2022
501,4/16/2022
502,4/17/2022
503,4/18/2022
504,4/19/2022
505,4/20/2022
506,4/21/2022
507,4/22/2022
508,4/23/2022
509,4/24/2022
510,4/25/2022
511,4/26/2022
512,4/27/2022
513,4/28/2022
514,4/29/2022
515,4/30/2022
516,5/1/2022
517,5/2/2022
518,5/3/2022
519,5/4/2022
520,5/5/2022
521,5/6/2022
522,5/7/2022
523,5/8/2022
524,5/9/2022
525,5/10/2022
526,5/11/2022
527,5/12/2022
528,5/13/2022
529,5/14/2022
530,5/15/2022
531,5/16/2022
532,5/17/2022
533,5/18/2022
534,5/19/2022
535,5/20/2022
536,5/21/2022
537,5/22/2022
538,5/23/2022
539,5/24/2022
540,5/25/2022
541,5/26/2022
542,5/27/2022
543,5/28/2022
544,5/29/2022
545,5/30/2022
546,5/31/2022
547,6/1/2022
548,6/2/2022
549,6/3/2022
550,6/4/2022
551,6/5/2022
552,6/6/2022
553,6/7/2022
554,6/8/2022
555,6/9/2022
556,6/10/2022
557,6/11/2022
558,6/12/2022
559,6/13/2022
560,6/14/2022
561,6/15/2022
562,6/16/2022
563,6/17/2022
564,6/18/2022
565,6/19/2022
566,6/20/2022
567,6/21/2022
568,6/22/2022
569,6/23/2022
570,6/24/2022
571,6/25/2022
572,6/26/2022
573,6/27/2022
574,6/28/2022
575,6/29/2022
576,6/30/2022
577,7/1/2022
578,7/2/2022
579,7/3/2022
580,7/4/2022
